,Longitude,Latitude,CEC [cmol/kg]
434,-4.5334,43.3175,15.1
435,-4.6168,43.2341,20.3
436,-4.2667,43.2341,33.1
437,-4.347,43.3338,1.8
438,-4.2334,43.2841,9.9
439,-3.9501,43.2008,3.2
440,-3.8,43.1841,5.0
441,-3.75,43.2675,2.8
442,-3.6334,43.3008,5.9
443,-3.6,43.2174,41.8
444,-3.7909,43.1986,3.2
445,-3.4667,43.3008,12.6
446,-3.35,43.3175,11.6
447,-4.7001,43.1508,8.5
448,-4.7168,43.0841,18.6
449,-4.6668,43.0674,45.3
450,-4.5168,43.1341,5.9
451,-4.3501,43.1008,10.0
452,-4.2501,43.1341,3.2
453,-4.2445,43.0897,12.8
454,-4.0834,43.1174,12.4
455,-3.9334,43.0841,12.4
456,-3.75,43.1341,6.4
457,-3.9328,43.1533,2.8
458,-3.45,43.1508,23.1
459,-4.0167,42.8841,25.5
460,-3.9667,42.8508,19.5
461,-0.1665,40.7507,33.2
462,-0.1332,40.6174,35.0
463,-0.0832,40.6507,8.5
464,-0.0498,40.6007,7.0
465,0.0002,40.584,32.0
466,0.2168,40.584,21.1
467,0.3835,40.3674,16.0
468,-0.2999,40.3007,36.5
469,0.0668,40.284,21.3
470,-0.1498,39.784,20.0
471,-0.3999,40.1507,17.6
472,-0.4665,40.0507,16.6
473,0.0668,40.134,24.0
474,-0.0498,39.884,9.4
475,-0.5665,39.8007,25.6
476,-0.1998,39.7507,39.1
477,-0.1637,39.7673,35.0
478,-4.887,39.4451,14.0
479,-4.7801,39.4465,6.5
480,-4.6668,39.3673,8.2
481,-3.2167,39.4007,10.9
482,-2.9333,39.3507,13.3
483,-3.7334,39.2673,7.3
484,-3.5667,39.234,6.5
485,-3.4334,39.2673,6.5
486,-3.1833,39.3173,25.3
487,-2.8667,39.284,14.3
488,-4.1765,39.0523,11.4
489,-4.157,39.0348,56.9
490,-3.2417,39.1118,50.4
491,-3.1167,39.1173,5.3
492,-3.8334,38.834,19.5
493,-3.6536,38.9257,17.5
494,-3.3947,38.837,36.7
495,-3.2667,38.884,2.8
496,-4.0801,38.734,25.5
497,-3.8956,38.722,31.7
498,-3.4334,38.8006,52.1
499,-3.0167,38.7006,20.9
500,-2.9833,38.8173,16.6
501,-2.8667,38.7673,17.0
502,-2.7167,38.684,31.3
503,-3.6,38.634,35.0
504,-3.8903,38.5826,24.0
505,-3.4667,38.6006,20.5
506,-3.4834,38.6006,33.2
507,-3.2833,38.584,17.0
508,-3.4639,39.259,12.5
509,-3.3333,38.8173,22.5
510,-3.4084,38.8006,16.0
511,-3.0167,39.1895,13.5
512,-3.1542,39.3173,13.6
513,-5.1668,38.384,6.9
514,-4.9001,38.584,12.1
515,-4.8834,38.4006,22.9
516,-4.9334,38.3506,23.5
517,-4.807,38.4409,14.2
518,-4.8168,38.3979,6.7
519,-4.8043,38.3562,6.8
520,-4.7584,38.3812,6.3
521,-4.7376,38.3451,3.6
522,-4.6501,38.3506,7.2
523,-4.5834,38.4006,21.5
524,-4.5459,38.4534,6.0
525,-4.5904,38.409,15.6
526,-4.6001,38.3673,6.3
527,-5.3335,38.2673,5.7
528,-4.8834,38.2006,16.5
529,-4.7834,38.2506,6.6
530,-4.8168,38.2006,10.0
531,-5.3668,38.084,5.8
532,-4.9001,38.0173,12.2
533,-4.8334,38.0506,46.5
534,-4.4001,38.0506,27.0
535,-4.8501,37.9673,11.0
536,-4.8001,37.984,12.1
537,-4.8001,37.8673,27.5
538,-5.2501,37.7339,6.4
539,-5.0987,37.7784,32.3
540,-5.0765,37.8034,27.8
541,-5.0168,37.784,12.7
542,-4.9987,37.7312,16.7
543,-4.7834,37.8173,52.1
