,Longitude,Latitude,OM [%]
436,-8.1292,41.9014,7.54
437,-8.1503,42.2341,7.29
438,-8.0336,42.4507,8.76
439,-7.3653,43.6147,12.02
440,-6.5203,43.5133,4.31
441,-6.1264,43.4947,13.57
442,-6.1483,43.5333,15.57
443,-7.8403,43.4481,8.46
444,-7.9697,43.4341,10.15
445,-7.9531,43.4174,33.46
446,-8.4198,42.9841,11.95
447,-8.3948,43.3174,18.21
448,-8.3323,43.3841,1.69
449,-8.3387,43.3974,6.71
450,-8.442,42.9508,10.97
451,-8.9698,43.0341,6.85
452,-8.342,43.3008,3.85
453,-2.2333,43.1008,6.03
454,-2.4694,43.2036,4.07
455,-1.9277,43.3174,3.2
456,-2.3286,42.937,16.96
457,-7.695,43.5247,17.73
458,-7.0502,43.0897,5.68
459,-7.3252,42.4507,5.64
460,-7.5503,43.2508,5.2
461,-7.2503,42.9758,8.18
462,-6.9002,42.8008,9.59
463,-7.4875,42.6781,4.06
464,-7.3503,42.9258,5.18
465,-7.1363,42.8841,4.05
466,-7.303,42.6674,14.26
467,-0.7499,42.4563,4.18
468,-0.7415,42.4535,2.59
469,0.0085,42.573,4.03
470,0.1585,42.5702,4.46
471,0.1891,42.5591,4.24
472,0.1919,42.4369,1.98
473,0.9836,42.323,9.19
474,1.3419,42.3035,5.93
475,1.7503,42.0369,3.08
476,1.2641,41.9868,1.54
477,1.4641,42.023,4.21
478,1.403,42.0535,3.35
479,1.4808,42.0896,4.49
480,1.4975,42.0424,3.44
481,1.3891,42.0063,3.28
482,1.3419,41.9521,2.59
483,1.6753,41.973,3.21
484,1.6503,41.8702,1.72
485,1.6919,41.8591,5.14
486,1.8892,42.0035,3.58
487,1.7058,42.0063,2.4
488,1.581,41.9652,1.25
489,1.6753,41.9535,3.57
490,1.9808,42.0063,3.38
491,1.9753,42.0563,1.92
492,2.1336,41.8896,3.95
493,2.067,41.8063,4.21
494,0.9641,41.3702,3.9
495,0.903,41.3229,4.61
496,0.3002,40.8368,21.7
497,0.3335,40.7735,14.7
498,0.3252,40.6824,7.46
499,0.2224,40.7896,11.3
500,-0.6276,40.6396,15.2
501,-0.6499,40.6229,9.31
502,-0.5249,40.2757,17.9
503,-0.6749,40.3062,11.9
504,-0.7026,40.3229,4.9
505,-1.0193,40.4063,12.8
506,-1.3527,40.3396,18.8
507,-1.3582,40.3201,5.63
508,-0.8943,40.0229,1.1
509,-1.0138,40.0368,5.4
510,-0.986,40.0396,8.41
511,-1.1832,40.1285,7.66
512,-1.2027,40.1785,9.17
513,-1.386,40.2618,5.86
514,-1.3444,40.1896,7.25
515,2.017,41.3341,0.86
516,-1.5039,43.2488,8.98
517,-1.5394,43.156,3.38
518,-1.6667,43.1463,5.45
519,-1.6695,43.1745,5.2
520,-1.6689,43.1806,5.51
521,-1.7787,43.0082,6.22
522,-2.004,43.0623,12.62
523,-1.902,43.2031,5.46
524,-1.902,43.2053,8.96
525,-1.8578,43.167,8.58
526,-1.682,43.2442,13.25
527,-1.7208,43.262,15.76
528,-1.6833,43.2531,3.4
529,-1.6608,43.2933,6.8
530,-1.6522,43.2597,10.03
531,2.8203,42.216,4.3
532,2.742,42.1396,3.72
533,3.0003,42.1202,3.24
534,2.9962,42.0574,3.48
535,3.174,41.8827,2.5
536,2.1684,41.9174,8.53
537,2.0114,41.9118,6.02
538,1.7475,41.6841,5.78
539,2.0892,41.6257,4.39
540,2.035,41.6049,2.14
541,2.1636,41.7007,4.15
542,2.1892,41.6424,4.51
543,2.2072,41.6035,1.62
544,1.5058,41.4729,5.46
545,1.5669,41.4882,1.09
546,1.4919,41.4479,6.52
547,1.8753,41.3313,5.82
548,1.9031,41.3146,40.09
549,1.8775,41.3299,1.37
550,1.4016,41.4563,4.16
551,1.3975,41.4646,5.96
552,1.3786,41.4224,6.36
553,0.7766,41.009,5.82
554,0.7724,41.009,1.3
555,-0.861,41.9938,5.25
556,-0.8527,41.9841,6.29
557,-1.0544,41.3398,3.72
558,-0.8999,41.4604,5.96
559,-0.0665,41.3591,7.04
560,-0.0693,41.3424,8.82
561,-0.5249,41.7674,4.31
562,-0.5443,41.7757,4.45
563,-0.3776,41.7007,4.34
564,-0.3971,41.7174,2.86
565,0.853,41.4702,2.85
566,0.8502,41.4646,3.88
567,0.8808,41.4535,1.36
568,-0.4193,41.1202,7.24
569,-0.3499,41.009,5.63
570,-0.1748,40.9229,4.92
571,0.1002,40.8507,3.12
572,0.0863,40.8646,4.86
573,-0.0248,40.8007,1.69
574,-0.0526,40.7952,4.68
575,-0.0776,40.784,3.26
576,-0.911,42.1341,3.04
577,-0.9319,42.2559,2.28
578,2.1855,42.3009,3.79
579,2.0692,42.2599,8.02
580,2.1142,42.2994,3.31
581,2.1281,42.298,1.18
582,2.1281,42.2835,4.09
583,2.1781,41.9118,6.02
584,2.1809,41.9118,4.5
585,2.2114,41.9618,2.22
586,2.3289,41.8993,0.8
587,2.4198,41.951,0.14
588,2.417,41.9355,0.48
589,2.4031,41.9591,0.71
590,2.0086,42.2341,6.07
591,2.0156,42.2327,4.79
592,1.86,42.2507,40.32
593,1.7578,42.2196,8.2
594,1.7286,42.2341,17.55
595,1.678,42.2257,6.32
596,1.2614,42.3341,7.12
597,1.7483,42.3285,3.4
598,1.7905,42.3341,8.25
599,1.3378,42.428,6.41
600,1.3169,42.4299,4.17
601,1.1794,42.448,15.03
602,1.3244,42.5952,7.0
603,1.3419,42.5377,7.73
604,0.2307,42.6346,21.27
605,-0.0717,42.6481,4.74
606,0.1991,42.6327,5.94
607,-0.6561,42.7453,6.49
608,-0.7195,42.7258,5.68
609,-0.795,42.7425,7.61
610,-0.8272,42.7356,3.78
611,-0.8625,42.9217,5.69
612,-1.0728,42.8953,2.08
613,-1.1389,42.9264,5.57
614,-1.4249,42.9437,8.69
615,-1.3706,42.8453,4.81
616,-1.1272,42.7036,3.01
617,-1.1939,42.7461,4.81
618,-1.0111,42.6617,4.33
619,-0.927,42.6642,8.1
620,-0.9792,42.4353,2.56
621,-0.9914,42.3814,2.68
622,-0.5292,42.5267,3.01
623,-0.6221,42.3494,17.11
624,-1.6583,40.4618,7.05
625,-1.6633,40.4945,11.61
626,-1.6328,40.5287,6.34
627,-1.6256,40.3878,2.19
628,-1.4416,40.2785,3.2
629,1.0872,41.3591,5.45
630,1.0511,41.3368,3.93
631,0.2974,40.7118,11.48
632,0.246,40.7474,15.72
633,-0.6889,40.4003,5.68
634,-0.6972,40.4076,7.47
635,-0.8416,40.4062,4.55
636,2.1503,41.4202,3.55
637,2.4059,41.5852,1.77
638,2.3975,41.5868,3.08
639,2.4086,41.5743,1.89
640,2.3734,41.6231,1.82
641,2.3531,41.6285,6.36
642,2.3684,41.6266,2.27
643,2.7309,41.7332,1.69
644,2.7239,41.6646,2.14
645,2.3856,41.9327,2.72
646,2.3036,41.8757,1.39
647,2.4475,41.7507,4.71
648,2.3836,41.7549,2.87
649,2.7225,41.8507,2.57
650,2.7003,41.871,1.35
651,2.6239,41.7924,3.48
652,2.8328,41.8446,0.94
653,2.6975,41.7466,1.31
654,3.1017,41.9652,1.35
655,3.192,41.9907,0.51
656,2.5525,41.8152,3.05
657,2.6753,42.1424,6.63
658,2.8339,42.2096,3.93
659,3.0651,41.8091,2.37
660,3.0434,41.7932,2.01
661,-1.4464,41.2995,2.86
662,-1.4369,41.2809,2.59
663,-1.4172,41.2964,4.35
664,-1.1014,41.1773,5.43
665,-1.0903,41.1953,11.11
666,-0.6911,40.2413,3.5
667,-0.7695,40.2699,2.27
668,-0.8125,40.3523,2.32
669,-1.2589,40.3517,3.03
670,-1.3883,40.5023,4.44
671,-1.3742,40.3931,3.51
672,2.9337,41.9507,4.49
673,2.8837,42.0007,4.25
674,1.8308,42.3507,3.7
675,2.5725,41.8604,3.77
676,3.1837,42.0841,3.82
677,-0.4526,42.3341,5.29
678,0.353,42.6674,5.9
679,-0.5332,42.4508,0.74
680,-0.286,42.6841,40.18
681,0.0335,42.6008,3.31
682,-0.5832,42.6841,4.38
683,-0.2526,42.6341,0.67
684,-0.2998,42.2341,4.69
685,0.6697,42.7841,13.58
686,0.8502,42.5174,5.65
687,-1.4249,40.0229,1.69
688,-1.511,39.9729,3.03
689,-1.6027,40.0896,11.4
690,-1.6305,40.0285,13.8
691,-1.8083,39.7896,4.11
692,-1.8333,39.7868,8.61
693,-1.9249,39.8757,20.6
694,-2.1,39.8562,4.48
695,-2.2472,39.9731,4.66
696,-2.0416,40.0229,12.2
697,-2.0416,40.0285,7.88
698,-2.3944,40.0729,11.2
699,-2.0444,40.1229,3.16
700,-2.0456,40.0495,7.33
701,-2.1861,40.1868,6.9
702,-1.9249,40.2257,14.4
703,-2.0138,40.259,14.2
704,-1.8333,40.3701,5.79
705,-1.8833,40.3896,7.45
706,-2.1583,40.3868,7.21
707,-2.2611,40.4451,2.44
708,-2.1583,40.459,4.87
709,-2.0916,40.4951,3.53
710,-2.0111,40.5896,8.9
711,-2.1027,40.5896,8.99
712,-2.0805,40.5868,12.8
713,-2.2777,40.5729,7.27
714,-2.1861,40.609,5.0
715,-2.25,40.7257,4.03
716,-2.3639,40.6424,7.94
