,Longitude,Latitude,Ca [mg/kg]
437,-0.986,40.0396,8418.0
438,-1.1832,40.1285,8615.0
439,-1.2027,40.1785,9065.0
440,-1.386,40.2618,7512.0
441,-1.3444,40.1896,7750.0
442,-1.5039,43.2488,388.0
443,-1.5394,43.156,1126.0
444,-1.6667,43.1463,504.0
445,-1.6695,43.1745,2094.0
446,-1.6689,43.1806,2500.0
447,-1.7787,43.0082,1479.0
448,-2.004,43.0623,1380.0
449,-1.902,43.2031,2500.0
450,-1.902,43.2053,1291.0
451,-1.8578,43.167,1016.0
452,-1.682,43.2442,1281.0
453,-1.7208,43.262,601.0
454,-1.6833,43.2531,373.0
455,-1.6608,43.2933,2500.0
456,-1.6522,43.2597,432.0
457,-1.4249,40.0229,1655.0
458,-1.511,39.9729,4784.0
459,-1.6027,40.0896,15984.0
460,-1.6305,40.0285,7066.0
461,-1.8083,39.7896,6109.0
462,-1.8333,39.7868,5274.0
463,-1.9249,39.8757,7807.0
464,-2.1,39.8562,7119.0
465,-2.2472,39.9731,2333.0
466,-2.0416,40.0229,6365.0
467,-2.0416,40.0285,6554.0
468,-2.3944,40.0729,6821.0
469,-2.0444,40.1229,3290.0
470,-2.0456,40.0495,6824.0
471,-2.1861,40.1868,7242.0
472,-1.9249,40.2257,7731.0
473,-2.0138,40.259,5362.0
474,-1.8333,40.3701,5021.0
475,-1.8833,40.3896,4822.0
476,-2.1583,40.3868,5982.0
477,-2.2611,40.4451,1885.0
478,-2.1583,40.459,4433.0
479,-2.0916,40.4951,5637.0
480,-2.0111,40.5896,3174.0
481,-2.1027,40.5896,6450.0
482,-2.0805,40.5868,7629.0
483,-2.2777,40.5729,7294.0
484,-2.1861,40.609,5990.0
485,-2.25,40.7257,4400.0
486,-2.3639,40.6424,5400.0
487,-2.2138,40.6924,5400.0
488,-2.1861,40.7229,1150.0
489,-2.1527,40.7979,6350.0
490,-2.1277,40.659,3200.0
491,-2.1166,40.6563,5600.0
492,-3.325,41.6452,10500.0
493,-3.3139,41.6396,5500.0
494,-4.8695,40.4563,850.0
495,-2.3639,38.6562,6347.0
496,-2.35,38.6423,4631.0
