,Longitude,Latitude,TN [mg/kg]
500,-0.5332,42.4508,2800.0
501,0.0335,42.6008,890.0
502,-0.5832,42.6841,1830.0
503,-0.2998,42.2341,4200.0
504,-1.4249,40.0229,400.0
505,-1.511,39.9729,800.0
506,-1.6027,40.0896,3200.0
507,-1.6305,40.0285,4200.0
508,-1.8083,39.7896,1600.0
509,-1.8333,39.7868,2400.0
510,-1.9249,39.8757,6600.0
511,-2.1,39.8562,1800.0
512,-2.2472,39.9731,1100.0
513,-2.0416,40.0229,2700.0
514,-2.0416,40.0285,2200.0
515,-2.3944,40.0729,3200.0
516,-2.0444,40.1229,1500.0
517,-2.0456,40.0495,3400.0
518,-2.1861,40.1868,2100.0
519,-1.9249,40.2257,4900.0
520,-2.0138,40.259,3100.0
521,-1.8333,40.3701,1300.0
522,-1.8833,40.3896,2100.0
523,-2.1583,40.3868,2100.0
524,-2.2611,40.4451,500.0
525,-2.1583,40.459,1400.0
526,-2.0916,40.4951,1100.0
527,-2.0111,40.5896,3100.0
528,-2.1027,40.5896,2700.0
529,-2.0805,40.5868,4800.0
530,-2.2777,40.5729,2400.0
531,-2.1861,40.609,2800.0
532,-2.25,40.7257,1400.0
533,-2.3639,40.6424,2200.0
534,-2.2138,40.6924,4200.0
535,-2.1861,40.7229,1100.0
536,-2.1527,40.7979,3500.0
537,-2.1277,40.659,1400.0
538,-2.1166,40.6563,3200.0
539,-3.325,41.6452,3800.0
540,-3.3139,41.6396,3800.0
541,-4.8695,40.4563,1400.0
542,-2.3639,38.6562,2200.0
543,-2.35,38.6423,2500.0
544,-2.3666,38.6118,3400.0
545,-2.38,38.5562,5000.0
546,-2.4027,38.5395,5300.0
547,-2.2889,38.4729,2400.0
548,-2.6805,38.4201,1400.0
549,-2.2666,38.134,2100.0
550,-2.3,38.0951,4700.0
551,-4.5668,40.3507,1720.0
552,-5.0362,40.234,6000.0
553,-5.2668,40.684,1200.0
554,-4.9862,40.3174,1410.0
555,-4.6195,40.2049,800.0
556,-4.5001,40.384,2200.0
557,-4.5001,40.334,970.0
558,-3.9028,41.6507,1400.0
559,-3.3334,42.3674,10090.0
560,-3.5417,42.0674,880.0
561,-3.3167,42.0174,1900.0
562,-3.125,41.9341,5700.0
563,-3.1333,42.3091,2990.0
564,-3.4393,42.0626,1400.0
565,-3.3806,41.8923,430.0
566,-2.9667,41.9674,560.0
567,-3.1861,42.3341,4360.0
568,-4.7445,40.4618,6860.0
569,-4.0042,40.7877,2700.0
570,-4.0112,40.7707,3400.0
571,-4.049,40.7596,2300.0
572,-4.0684,40.7735,3900.0
573,-4.1421,40.6231,3500.0
574,-4.1672,40.6008,2400.0
575,-4.1357,40.63,4200.0
576,-4.1538,40.65,700.0
577,-4.0276,40.7338,2300.0
578,-4.0812,40.7315,2700.0
579,-4.156,40.6045,1400.0
580,-4.199,40.5663,500.0
581,-4.1775,40.5818,1300.0
582,-4.1768,40.5773,2700.0
583,-4.1378,40.7088,3100.0
584,-4.002,40.689,100.0
585,-4.0042,40.6901,100.0
586,-4.0565,40.7732,2800.0
587,-4.1349,40.6156,1100.0
588,-4.114,40.641,1500.0
589,-4.0322,40.7328,2600.0
590,-4.0801,40.7438,3500.0
591,-4.1689,40.5976,1400.0
592,-4.0392,40.6926,1100.0
593,-4.0161,40.5779,1200.0
594,-4.0051,40.6751,400.0
595,-3.9688,40.577,500.0
596,-4.1118,40.614,1100.0
597,-4.0389,40.6899,900.0
598,-4.0825,40.589,800.0
599,-4.0101,40.6774,1000.0
600,-3.9609,40.6036,700.0
601,-3.9603,40.5581,1000.0
602,-4.0239,40.5094,800.0
603,-4.0341,40.517,300.0
604,-3.9767,40.5517,800.0
605,-3.9217,40.9318,1000.0
606,-3.8385,40.8323,4600.0
607,-3.8041,40.83,2700.0
608,-3.7688,40.8537,800.0
609,-3.7762,40.8771,4300.0
610,-3.7864,40.9401,2200.0
611,-3.6427,40.9436,600.0
612,-3.7987,40.9742,4000.0
613,-3.7475,41.0126,4400.0
614,-3.8739,40.909,2600.0
615,-3.9601,40.816,5800.0
616,-3.9139,40.8329,3200.0
617,-3.6753,41.0556,2800.0
618,-3.8534,40.7867,600.0
619,-3.9992,40.8549,5200.0
620,-4.0167,40.8674,1400.0
621,-4.0462,40.8451,2200.0
622,-3.9072,41.018,1000.0
623,-4.1794,40.7079,600.0
624,-3.8443,41.0047,3800.0
625,-3.807,41.0237,1500.0
626,-3.8394,41.0622,1500.0
627,-4.1256,40.7401,4000.0
628,-4.1278,40.7732,2800.0
629,-4.1759,40.7066,1900.0
630,-4.0964,40.7785,2400.0
631,-4.0937,40.7976,2800.0
632,-4.187,40.7082,1900.0
633,-3.8394,41.0145,5000.0
634,-3.7992,40.9978,1400.0
635,-3.8114,41.0126,3300.0
636,-3.6125,41.1507,3000.0
637,-3.5939,41.1638,2200.0
638,-3.6935,41.0861,3600.0
639,-3.7124,41.0887,2700.0
640,-3.6565,41.1548,1400.0
641,-3.6789,41.1083,4300.0
642,-3.6843,41.1114,2000.0
643,-3.6654,41.1318,5000.0
644,-3.8608,41.0598,800.0
645,-3.8557,41.063,800.0
646,-4.0037,40.8821,1500.0
647,-4.0439,40.88,1100.0
648,-3.4861,38.4315,710.0
649,-4.4167,39.0007,4000.0
650,-3.7,39.234,1030.0
651,-4.5334,39.134,1680.0
652,-4.4195,39.4007,1250.0
653,-1.8666,40.2174,1210.0
654,-2.3666,40.084,3910.0
655,-2.8591,40.1553,3900.0
656,-1.9505,40.4479,1722.0
657,-1.6556,40.0037,1022.0
658,-1.9244,40.3305,21000.0
659,-2.161,39.6297,1500.0
660,-2.15,40.2507,1530.0
661,-2.3666,40.384,1020.0
662,-2.3,40.7507,2800.0
663,-2.3666,41.0174,1900.0
664,-2.9808,40.3174,2140.0
665,-1.9999,40.6674,4110.0
666,-1.7092,40.5884,9280.0
667,-3.1528,40.8648,6000.0
668,-3.4,41.0674,800.0
669,-2.1689,40.9001,5900.0
670,-3.4,40.8507,790.0
671,-3.1,41.1924,3480.0
672,-2.95,40.9757,1582.0
673,-3.1654,40.5516,2590.0
674,-3.1182,40.5967,5800.0
675,-3.0472,40.4527,870.0
676,-2.9051,40.849,1790.0
677,-3.35,41.0341,3500.0
678,-2.9644,40.8492,2230.0
679,-1.9361,40.6174,1020.0
680,-2.975,42.0007,4098.0
681,-5.0668,40.3007,3000.0
682,-4.5834,40.2174,10860.0
683,-5.1207,40.1426,784.0
684,-2.4688,40.5145,1650.0
685,-2.0299,40.6648,4340.0
686,-1.9113,40.6818,4420.0
687,-2.0986,40.8365,2180.0
688,-1.9861,40.7731,4700.0
689,-3.2167,41.2674,8150.0
690,-3.3361,40.834,2700.0
691,-2.1166,40.734,2260.0
692,-6.2335,42.2674,3610.0
693,-6.2335,42.5577,2170.0
694,-6.2835,42.9174,3090.0
695,-5.5335,42.9508,2790.0
696,-5.7863,42.8008,3890.0
697,-6.8336,42.7174,6040.0
698,-3.9862,40.7174,400.0
699,-3.6195,41.0924,3610.0
700,-3.5789,40.8814,2310.0
701,-3.9334,40.634,3500.0
702,-4.2001,40.484,1080.0
703,-3.8334,40.6174,3418.0
704,-3.6,40.8674,3000.0
705,-3.55,41.0674,9100.0
706,-3.9334,40.5507,742.0
707,-4.1028,40.734,5630.0
708,-3.5667,41.034,3330.0
709,-3.45,41.084,3200.0
710,-4.0334,40.7257,6440.0
711,-4.3751,40.3674,4000.0
712,-3.5292,41.0146,2900.0
713,-3.575,41.1243,4175.0
714,-4.2334,40.491,6350.0
715,-3.9834,40.3674,2770.0
716,-0.1415,40.6896,2400.0
717,-0.2193,40.5535,10900.0
718,-0.2415,40.5701,2000.0
719,-0.2276,40.5396,2700.0
720,-0.3443,40.3229,2400.0
721,-0.3582,40.259,2000.0
722,-2.5166,38.3423,1300.0
723,-2.5833,38.3784,1500.0
724,-2.5166,38.309,2000.0
725,-2.5305,38.2729,3500.0
726,-2.6139,38.2562,5300.0
727,-2.5861,38.2534,2900.0
728,-2.5972,38.2423,3500.0
729,-2.6,38.2284,1500.0
730,-2.6305,38.2284,3600.0
731,-2.7528,38.0895,2500.0
732,-2.9528,37.9701,2000.0
733,-2.9167,37.9395,800.0
734,-2.8028,37.9201,1800.0
735,-2.8361,37.8228,1400.0
736,-2.975,37.8562,1500.0
737,-2.9778,37.8395,1800.0
738,-3.0056,37.7562,4600.0
739,-2.9861,37.7117,3200.0
740,-2.55,37.9228,4300.0
741,-2.4944,37.9756,1800.0
742,-2.4389,38.0562,1500.0
743,-5.9002,38.734,2980.0
744,-4.8334,39.2173,1640.0
745,-5.9502,38.7507,580.0
746,-5.9418,38.7423,4300.0
747,-4.8584,39.234,5360.0
748,-6.8835,38.4506,800.0
749,-2.9756,36.8034,100.0
750,-2.5806,37.2759,300.0
751,-2.5814,37.2726,800.0
752,-2.5797,37.2657,1100.0
753,-2.5811,37.2521,700.0
754,-2.5811,37.2634,800.0
755,-2.5825,37.2543,800.0
756,-2.5819,37.2682,1000.0
757,-2.5819,37.2701,800.0
758,-2.5678,37.2496,600.0
759,-2.575,37.2548,1100.0
760,-2.57,37.2526,400.0
761,-2.58,37.2801,500.0
762,-2.63,37.2843,600.0
763,-2.6356,37.2848,300.0
764,-2.7877,37.3644,640.0
765,-2.7775,37.3585,320.0
766,-2.7643,37.3705,160.0
767,-5.6113,40.084,6560.0
768,-5.9029,40.0901,2676.0
769,-5.7585,40.084,1900.0
770,-5.8021,40.334,4470.0
771,-5.7196,39.7007,1700.0
772,-6.7085,40.209,1770.0
773,-5.6696,36.6173,8610.0
