,Longitude,Latitude,Mg [mg/kg]
533,-4.0825,40.589,500.0
534,-4.0101,40.6774,395.0
535,-3.9609,40.6036,378.0
536,-3.9603,40.5581,500.0
537,-4.0239,40.5094,500.0
538,-4.0341,40.517,260.0
539,-3.9767,40.5517,332.0
540,-3.9217,40.9318,130.0
541,-3.8385,40.8323,48.0
542,-3.8041,40.83,72.0
543,-3.7688,40.8537,71.0
544,-3.7762,40.8771,101.0
545,-3.7864,40.9401,141.0
546,-3.6427,40.9436,170.0
547,-3.7987,40.9742,163.0
548,-3.7475,41.0126,81.0
549,-3.8739,40.909,193.0
550,-3.9601,40.816,61.0
551,-3.9139,40.8329,58.0
552,-3.6753,41.0556,84.0
553,-3.8534,40.7867,32.0
554,-3.9992,40.8549,405.0
555,-4.0167,40.8674,402.0
556,-4.0462,40.8451,500.0
557,-3.9072,41.018,387.0
558,-4.1794,40.7079,299.0
559,-3.8443,41.0047,322.0
560,-3.807,41.0237,398.0
561,-3.8394,41.0622,410.0
562,-4.1256,40.7401,500.0
563,-4.1278,40.7732,247.0
564,-4.1759,40.7066,500.0
565,-4.0964,40.7785,377.0
566,-4.0937,40.7976,459.0
567,-4.187,40.7082,500.0
568,-3.8394,41.0145,384.0
569,-3.7992,40.9978,463.0
570,-3.8114,41.0126,201.0
571,-3.6125,41.1507,161.0
572,-3.5939,41.1638,157.0
573,-3.6935,41.0861,400.0
574,-3.7124,41.0887,493.0
575,-3.6565,41.1548,500.0
576,-3.6789,41.1083,455.0
577,-3.6843,41.1114,408.0
578,-3.6654,41.1318,212.0
579,-3.8608,41.0598,301.0
580,-3.8557,41.063,449.0
581,-4.0037,40.8821,500.0
582,-4.0439,40.88,447.0
583,-0.1415,40.6896,814.0
584,-0.2193,40.5535,3724.0
585,-0.2415,40.5701,123.0
586,-0.2276,40.5396,1631.0
587,-0.3443,40.3229,218.0
588,-0.3582,40.259,265.0
589,-2.5166,38.3423,97.0
590,-2.5833,38.3784,577.0
591,-2.5166,38.309,450.0
592,-2.5305,38.2729,161.0
593,-2.6139,38.2562,328.0
594,-2.5861,38.2534,241.0
595,-2.5972,38.2423,264.0
596,-2.6,38.2284,99.0
597,-2.6305,38.2284,157.0
598,-2.7528,38.0895,94.0
599,-2.9528,37.9701,113.0
600,-2.9167,37.9395,107.0
601,-2.8028,37.9201,181.0
602,-2.8361,37.8228,861.0
603,-2.975,37.8562,160.0
604,-2.9778,37.8395,821.0
605,-3.0056,37.7562,237.0
606,-2.9861,37.7117,208.0
607,-2.55,37.9228,356.0
608,-2.4944,37.9756,553.0
609,-2.4389,38.0562,106.0
610,-1.54,42.6916,376.0
611,-1.1831,42.6541,540.0
612,-1.5756,43.0009,74.0
613,-1.5698,42.9873,227.0
614,-1.5795,42.9929,293.0
615,-1.6166,43.0311,59.0
616,-1.6431,43.0436,51.0
617,-0.8324,42.9247,105.0
618,-0.8335,42.9181,102.0
619,-0.903,42.9365,63.0
620,-0.8986,42.9214,95.0
621,-2.0177,42.9731,222.0
622,-2.0057,42.9604,130.0
623,-1.9798,42.9665,198.0
624,-1.9454,42.9698,182.0
625,-1.8906,42.9513,261.0
626,-1.8723,42.9421,121.0
627,-1.8878,43.0386,137.0
628,-1.8815,43.0457,45.0
629,-1.5075,43.0775,55.0
630,-1.5338,43.0553,188.0
631,-1.6382,43.0548,16.0
632,-1.5875,43.0723,16.0
633,-1.4158,43.2023,35.0
634,-1.4448,43.2243,24.0
635,-1.4581,43.2335,20.0
636,-1.4132,43.1618,51.0
637,-1.4806,43.0231,1350.0
638,-1.5318,43.0373,496.0
639,-1.4305,43.0143,53.0
640,-1.1526,42.9931,33.0
641,-1.1837,42.9773,83.0
642,-1.2557,42.9028,41.0
643,-1.6612,43.0695,48.0
644,-1.6992,43.0753,66.0
645,-1.7271,43.1486,21.0
646,-1.7705,43.0716,25.0
647,-1.8053,43.1143,25.0
648,-1.8825,43.125,27.0
649,-1.0982,42.4456,93.0
650,-0.8393,42.866,50.0
651,-0.8374,42.8688,63.0
652,-2.1809,42.7826,101.0
653,-2.2148,42.8063,88.0
654,-2.238,42.8145,64.0
655,-1.2515,42.8767,133.0
656,-1.3111,42.9361,35.0
657,-1.3454,43.0302,93.0
658,-1.4029,42.9914,69.0
659,-1.3793,43.0001,66.0
660,-2.0636,42.7988,214.0
661,-2.0511,42.7972,207.0
662,-1.4493,42.6544,85.0
663,-1.0755,42.9855,151.0
664,-1.0119,42.9638,132.0
665,-1.2038,42.9597,115.0
666,-1.2633,42.9804,179.0
667,-2.4623,42.6114,178.0
668,-2.14,42.7364,141.0
669,-2.2547,42.7462,87.0
670,-2.0354,42.7842,228.0
671,-2.0625,42.9339,111.0
672,-1.9383,42.9579,125.0
673,-1.9998,42.8676,219.0
674,-2.1039,42.864,113.0
675,-1.7565,43.0366,61.0
676,-1.7537,42.9913,51.0
677,-1.8519,43.0508,123.0
678,-1.8143,42.8388,196.0
679,-1.8039,42.9333,84.0
680,-2.0932,42.8417,175.0
681,-1.2919,43.0105,43.0
682,-2.0966,42.9432,63.0
683,-1.7037,42.9772,63.0
684,-3.05,43.1341,195.0
685,-3.0333,43.1174,61.0
686,-2.5,42.5021,146.0
687,-2.8333,43.0508,244.0
688,-2.4166,42.5341,354.0
689,-2.6333,42.9924,61.0
690,-2.5833,42.9508,122.0
691,-2.5833,42.8549,232.0
692,-2.6333,42.8424,232.0
693,-2.6333,42.5008,183.0
694,-2.4975,42.9286,244.0
695,-2.4166,42.9341,244.0
696,-2.7167,42.9341,317.0
697,-2.55,42.823,122.0
698,-2.4747,42.7347,464.0
699,-2.303,42.7924,293.0
700,-2.2722,42.8102,927.0
701,-2.7833,42.5827,85.0
702,-2.6667,42.5846,366.0
703,-2.6166,42.4994,207.0
704,-2.5666,42.5452,2794.0
705,-2.5,42.6016,134.0
706,-2.45,39.2507,122.0
707,-2.4277,39.2498,61.0
708,-2.3486,39.2396,110.0
709,-2.45,39.0618,73.0
710,-2.0166,39.0173,573.0
711,-1.8333,38.9173,85.0
712,-1.8944,38.7256,183.0
713,-1.8999,38.734,85.0
714,-1.7333,38.8006,159.0
715,-2.6427,38.5734,220.0
716,-2.6655,38.6005,366.0
717,-2.6988,38.6908,73.0
718,-2.55,38.6506,549.0
719,-2.55,38.5673,439.0
720,-2.5,38.6173,293.0
721,-2.4166,38.434,342.0
722,-0.1498,38.8506,195.0
723,-0.8166,38.7173,171.0
724,-0.7832,38.734,1940.0
725,-0.5332,38.684,134.0
726,-0.4832,38.7673,451.0
727,0.0502,38.7006,37.0
728,-0.8166,38.184,183.0
729,-0.7999,38.2006,1135.0
730,-0.7666,38.2006,1244.0
731,-0.5987,38.1923,1452.0
732,-0.6332,38.184,268.0
733,-0.9499,38.1173,525.0
734,-0.9666,38.0173,329.0
