,Longitude,Latitude,Cond electr [mS/m]
743,-1.7218,43.0211,3.0
744,-1.7592,43.0238,8.0
745,-1.6054,43.0814,4.0
746,-1.2802,43.1135,6.0
747,-1.3117,43.073,5.0
748,-1.2411,43.0084,3.0
749,-1.2873,42.9337,4.0
750,-1.4343,43.1301,3.0
751,-1.4637,43.1824,3.0
752,-1.6212,43.1825,3.0
753,-1.9198,42.9389,3.0
754,-2.1223,42.8844,20.0
755,-1.7264,43.2382,6.0
756,-3.1981,41.7981,38.0
757,-0.0498,40.7007,24.0
758,-5.7516,39.5367,26.0
759,-5.0473,41.344,9.0
760,-3.9667,41.2841,1.0
761,-1.934,39.9973,17.0
762,-2.7,42.2007,18.0
763,-2.0999,40.9174,5.0
764,-2.9339,37.889,8.0
765,-3.0667,41.2031,16.0
766,-6.0204,39.8601,4.0
767,-4.3296,41.0256,3.0
768,-4.6178,41.3648,2.0
769,-4.0217,40.8607,14.0
770,-3.7953,41.2941,35.0
771,-5.4146,43.4705,15.0
772,-0.9149,41.5896,190.0
773,-3.4081,43.1188,10.0
774,-4.7351,40.1487,6.0
775,-2.4411,41.0188,10.0
776,-4.3309,41.191,2.0
777,-4.7119,41.4039,12.0
778,-5.3243,40.2094,14.0
779,-5.2485,40.4768,5.0
780,-4.6868,40.7179,3.0
781,-2.9397,40.5896,27.0
782,0.0022,38.8616,26.0
783,-0.6832,42.5174,16.0
784,-8.5712,42.1902,8.0
785,-3.8597,38.3671,6.0
786,-1.6205,40.4976,12.0
787,-3.8698,38.3499,26.0
788,-5.0668,40.184,53.0
789,-4.2994,41.1669,4.0
790,-1.7222,40.2279,24.0
791,-6.2335,42.2507,4.0
792,-4.2347,38.4088,4.0
793,-5.9819,38.7603,8.0
794,-0.6238,42.7411,15.0
795,-4.3207,41.6342,25.0
796,-4.7491,39.6349,5.0
797,-5.3278,43.1095,8.0
798,-5.0478,41.5846,22.0
799,-5.0474,41.5848,22.0
800,-1.8869,37.0329,15.0
801,-6.5669,40.434,9.0
802,-2.9481,41.9309,5.0
803,-6.2665,41.4507,13.0
804,-3.9237,40.9841,11.0
805,-4.7766,39.6147,15.0
806,-5.45,41.5167,4.0
807,2.5359,41.9461,38.0
808,2.5703,41.9372,27.0
809,2.5706,41.9372,27.0
810,2.5338,41.902,26.0
811,2.5031,41.8716,25.0
812,2.5187,41.8218,19.0
813,2.5195,41.8718,40.0
814,2.4569,41.871,40.0
815,2.4887,41.8117,27.0
816,2.541,41.9002,26.0
817,2.4779,42.1398,21.0
818,2.5251,42.1475,27.0
819,2.7436,42.4097,27.0
820,2.5896,41.6599,8.0
821,2.5618,41.6733,7.0
822,2.4386,41.8962,5.0
823,2.4469,41.9052,9.0
824,2.7168,41.9951,21.0
825,2.7145,42.0065,15.0
826,2.9215,41.9878,9.0
827,2.5976,41.9715,8.0
828,2.5884,41.9706,7.0
829,2.5564,42.0171,9.0
830,2.6002,41.8786,8.0
