,Longitude,Latitude,Sand [%]
607,-0.7195,42.7258,13.6
608,-0.795,42.7425,21.7
609,-0.8272,42.7356,15.5
610,-0.8625,42.9217,4.8
611,-1.0728,42.8953,13.7
612,-1.1389,42.9264,22.7
613,-1.4249,42.9437,3.6
614,-1.3706,42.8453,47.0
615,-1.1272,42.7036,52.4
616,-1.1939,42.7461,11.9
617,-1.0111,42.6617,6.7
618,-0.927,42.6642,7.0
619,-0.9792,42.4353,19.1
620,-0.9914,42.3814,58.7
621,-0.5292,42.5267,51.7
622,-0.6221,42.3494,7.2
623,-1.6583,40.4618,51.6
624,-1.6633,40.4945,9.5
625,-1.6328,40.5287,18.0
626,-1.6256,40.3878,71.1
627,-1.4416,40.2785,48.0
628,1.0872,41.3591,57.0
629,1.0511,41.3368,78.3
630,0.2974,40.7118,12.4
631,0.246,40.7474,6.2
632,-0.6889,40.4003,37.0
633,-0.6972,40.4076,39.5
634,-0.8416,40.4062,43.1
635,2.1503,41.4202,67.5
636,2.4059,41.5852,80.7
637,2.3975,41.5868,66.8
638,2.4086,41.5743,79.5
639,2.3734,41.6231,82.1
640,2.3531,41.6285,40.8
641,2.3684,41.6266,76.8
642,2.7309,41.7332,79.0
643,2.7239,41.6646,74.7
644,2.3856,41.9327,73.7
645,2.3036,41.8757,81.4
646,2.4475,41.7507,40.8
647,2.3836,41.7549,59.8
648,2.7225,41.8507,67.5
649,2.7003,41.871,75.5
650,2.6239,41.7924,72.0
651,2.8328,41.8446,62.9
652,2.6975,41.7466,71.0
653,3.1017,41.9652,70.0
654,3.192,41.9907,96.0
655,2.5525,41.8152,83.4
656,2.6753,42.1424,29.8
657,2.8339,42.2096,55.4
658,3.0651,41.8091,73.1
659,3.0434,41.7932,76.7
660,-1.4464,41.2995,57.5
661,-1.4369,41.2809,47.7
662,-1.4172,41.2964,61.9
663,-1.1014,41.1773,47.3
664,-1.0903,41.1953,52.3
665,-0.6911,40.2413,86.0
666,-0.7695,40.2699,67.5
667,-0.8125,40.3523,81.1
668,-1.2589,40.3517,69.4
669,-1.3883,40.5023,55.0
670,-1.3742,40.3931,43.1
671,2.9337,41.9507,41.4
672,2.8837,42.0007,52.0
673,1.8308,42.3507,49.0
674,2.5725,41.8604,76.0
675,3.1837,42.0841,52.0
676,-0.4526,42.3341,48.0
677,0.353,42.6674,49.5
678,-0.5332,42.4508,35.0
679,-0.286,42.6841,40.0
680,0.0335,42.6008,65.0
681,-0.5832,42.6841,34.0
682,-0.2526,42.6341,28.0
683,-0.2998,42.2341,21.9
684,0.6697,42.7841,47.0
685,0.8502,42.5174,46.0
686,-1.4249,40.0229,78.3
687,-1.511,39.9729,83.3
688,-1.6027,40.0896,15.5
689,-1.6305,40.0285,19.1
690,-1.8083,39.7896,23.8
691,-1.8333,39.7868,26.3
692,-1.9249,39.8757,47.7
693,-2.1,39.8562,25.8
694,-2.2472,39.9731,77.0
695,-2.0416,40.0229,11.2
696,-2.0416,40.0285,13.5
697,-2.3944,40.0729,40.6
698,-2.0444,40.1229,28.5
699,-2.0456,40.0495,12.9
700,-2.1861,40.1868,47.9
701,-1.9249,40.2257,12.2
702,-2.0138,40.259,39.5
703,-1.8333,40.3701,3.5
704,-1.8833,40.3896,33.0
705,-2.1583,40.3868,29.6
706,-2.2611,40.4451,69.6
707,-2.1583,40.459,53.9
708,-2.0916,40.4951,42.0
709,-2.0111,40.5896,17.7
710,-2.1027,40.5896,39.8
711,-2.0805,40.5868,29.3
712,-2.2777,40.5729,21.5
713,-2.1861,40.609,30.3
714,-2.25,40.7257,51.5
715,-2.3639,40.6424,27.1
716,-2.2138,40.6924,62.6
717,-2.1861,40.7229,53.9
718,-2.1527,40.7979,35.8
719,-2.1277,40.659,46.7
720,-2.1166,40.6563,25.2
721,-3.325,41.6452,15.6
722,-3.3139,41.6396,19.8
723,-4.8695,40.4563,71.5
724,-2.3639,38.6562,23.8
725,-2.35,38.6423,6.5
726,-2.3666,38.6118,35.0
727,-2.38,38.5562,35.1
728,-2.4027,38.5395,20.8
729,-2.2889,38.4729,41.9
730,-2.6805,38.4201,54.0
731,-2.2666,38.134,28.2
732,-2.3,38.0951,25.6
733,-1.2999,39.034,14.7
734,-2.7667,39.0007,44.0
735,-2.05,38.3315,21.0
736,-4.6474,40.3297,60.8
737,-4.4445,40.7424,63.0
738,-4.9787,40.391,68.0
739,-5.1923,40.1812,77.7
740,-5.0196,41.0007,59.0
741,-4.5951,40.384,62.0
742,-4.8696,40.284,73.0
743,-4.4931,40.6001,49.5
744,-4.3844,40.5259,72.0
745,-4.9862,40.1673,68.0
746,-5.0362,40.234,65.0
747,-5.1779,40.2174,48.0
748,-4.7362,41.0174,72.1
749,-4.9362,40.2007,76.5
750,-5.2501,40.4507,66.0
751,-4.4612,40.5965,65.0
752,-4.3945,40.6257,64.0
753,-4.3444,40.5814,68.0
754,-4.3489,40.5759,77.0
755,-4.5001,40.7174,28.0
756,-4.1832,40.6738,68.0
757,-4.2014,40.6148,71.0
758,-4.4195,40.5479,72.0
759,-4.5529,40.3174,70.0
760,-4.8998,40.2499,69.0
761,-4.6836,40.3184,71.0
762,-4.9001,40.259,78.0
763,-4.9696,40.2507,82.5
764,-4.6146,40.194,73.3
765,-4.719,40.9757,93.0
766,-4.6861,40.9648,91.0
767,-5.5863,40.334,65.0
768,-4.3529,40.5707,73.0
769,-4.5001,40.5007,58.0
770,-4.6737,40.8257,69.0
771,-4.5668,40.3507,79.8
772,-5.0362,40.234,71.2
773,-5.2668,40.684,83.8
774,-4.9834,40.4007,65.3
775,-4.9862,40.3174,74.0
776,-4.6195,40.2049,76.9
777,-4.5001,40.384,59.0
778,-4.5001,40.334,54.4
779,-3.175,42.8341,47.0
780,-3.9028,41.6507,85.0
781,-3.3334,42.3674,35.0
782,-3.5417,42.0674,63.0
783,-3.3167,42.0174,43.6
784,-3.125,41.9341,74.0
785,-3.1333,42.3091,36.0
786,-3.2195,42.3007,23.5
787,-3.4393,42.0626,22.2
788,-3.3806,41.8923,87.8
789,-2.9667,41.9674,51.0
790,-3.6583,41.9481,49.0
791,-3.1861,42.3341,51.0
792,-3.7336,42.6247,22.0
793,-3.1153,42.6675,35.0
794,-3.7483,42.6267,10.0
795,-4.7445,40.4618,79.0
796,-4.5325,40.3259,64.0
797,-4.5319,40.3148,66.0
798,-4.5258,40.3245,65.0
799,-5.0086,40.2759,67.0
800,-5.0097,40.3031,71.0
801,-4.5533,42.4822,48.7
802,-4.5889,42.4981,51.0
803,-4.7444,42.5314,30.0
804,-4.4755,42.5437,50.4
805,-4.5208,42.5336,62.0
806,-4.5472,42.5934,41.4
807,-4.5417,42.5892,36.5
808,-4.5361,42.5831,34.4
809,-4.8111,42.4675,29.8
810,-4.9181,42.687,49.1
811,-4.9078,42.6939,60.5
812,-5.2339,42.7818,72.2
813,-4.95,42.6481,67.0
814,-4.9167,42.6989,66.0
815,-4.8361,42.655,39.4
816,-5.2551,42.7363,76.0
817,-5.2584,42.7061,79.7
818,-5.7342,42.6856,76.5
819,-5.6922,42.7875,67.8
820,-5.6778,42.7858,57.5
821,-5.6931,42.7772,78.5
822,-5.6806,42.7884,70.5
823,-5.6805,42.7842,81.5
824,-4.0042,40.7877,61.2
825,-4.0112,40.7707,55.6
826,-4.049,40.7596,61.5
827,-4.0684,40.7735,57.5
828,-4.1421,40.6231,76.6
829,-4.1672,40.6008,58.9
830,-4.1357,40.63,58.9
831,-4.1538,40.65,71.6
832,-4.0276,40.7338,44.9
833,-4.0812,40.7315,63.1
834,-4.156,40.6045,69.4
835,-4.199,40.5663,72.5
