,Longitude,Latitude,Carb [%]
527,-0.8166,37.6506,1.8
528,-1.7999,37.6673,11.3
529,-1.7666,37.6006,10.8
530,-1.7699,37.6403,13.5
531,-1.6999,37.6339,35.5
532,-1.6916,37.5839,8.3
533,-1.4332,37.6006,2.4
534,-1.1832,37.6506,16.6
535,-1.4269,37.5226,7.9
536,-1.3702,37.5506,28.2
537,-1.0749,37.6645,7.6
538,-0.8832,37.6506,5.0
539,-0.7332,37.6339,14.8
540,-2.0833,38.034,62.1
541,-2.0666,38.0006,51.3
542,-1.9666,42.9841,0.7
543,-1.468,42.8685,20.3
544,-1.4916,42.8327,5.0
545,-1.3824,42.7655,6.8
546,-2.0041,42.6563,27.0
547,-1.6305,42.6063,26.5
548,-1.2105,42.6166,43.7
549,-2.35,42.4841,33.8
550,-1.8758,42.4655,32.3
551,-1.5069,42.3813,42.7
552,-1.4944,42.3299,45.8
553,-2.35,42.0674,27.4
554,-2.0333,42.4077,16.7
555,-1.4999,42.2507,25.7
556,-1.7958,42.3874,17.6
557,-1.7666,43.0091,5.4
558,-1.6499,42.8508,5.4
559,-1.6333,42.7841,2.7
560,-1.6333,42.6508,1.8
561,-1.3332,42.6841,4.2
562,-6.8927,42.4633,10.2
563,-4.4334,43.0008,3.9
564,-4.3667,42.4008,2.2
565,-4.7001,42.1007,7.1
566,-4.6334,42.0341,11.3
567,-4.6334,42.0674,2.2
568,-5.5835,41.0674,1.3
569,-5.2335,41.0507,0.1
570,-5.2168,41.1007,0.9
571,-5.8168,40.9507,10.4
572,-5.2668,40.9007,0.6
573,-3.7834,41.5174,1.6
574,-4.1167,41.1174,1.3
575,-3.6834,41.1257,18.3
576,-5.3668,37.7673,6.7
577,-5.1001,37.5173,5.7
578,-6.1835,37.3839,0.8
579,-5.4835,37.4839,3.3
580,-5.3668,37.4839,4.2
581,-5.3168,37.4339,9.8
582,-5.3668,37.3506,39.0
583,-5.2168,37.4673,15.4
584,-6.1002,37.2839,27.0
585,-5.5168,37.2673,12.4
586,-5.3668,37.1006,12.7
587,-2.6333,41.8507,0.8
588,-3.3167,41.7007,70.8
589,-2.7333,41.7841,2.1
590,-2.7,41.7841,16.0
591,-2.75,41.7507,2.5
592,-2.75,41.7007,36.2
593,-2.45,41.8174,0.5
594,-2.7333,41.4674,4.1
595,-3.1667,41.6007,27.2
596,-3.5,41.5674,6.4
597,-3.4,41.6174,2.2
598,-3.0,41.6007,3.9
599,1.2502,41.384,58.4
600,1.2502,41.3507,15.4
601,0.5835,41.184,41.7
602,1.2502,41.3007,22.2
603,0.5669,41.1174,36.0
604,0.6335,41.0507,30.2
605,0.6669,41.034,56.8
606,0.2669,40.734,9.3
607,0.5835,40.734,29.5
608,0.6002,40.7451,32.8
609,0.6335,40.7507,19.7
610,0.6669,40.784,32.8
611,0.6002,40.7674,32.8
612,0.6849,40.7785,46.7
613,0.5335,40.7674,30.4
614,0.8335,40.7174,34.0
615,0.6835,40.7007,35.4
616,0.7169,40.7007,34.4
617,0.3752,40.6257,29.3
618,0.4502,40.6007,62.6
619,1.2041,41.3799,46.4
620,1.1847,41.3904,42.8
621,-0.5665,40.984,42.6
