,Longitude,Latitude,TOC [%]
367,-6.6978,43.0125,6.7
368,-6.8869,42.9945,11.61
369,-6.8769,42.9992,4.03
370,-6.8247,43.065,10.85
371,-6.7958,43.1008,10.21
372,-6.6825,43.1614,13.86
373,-6.6742,43.1528,4.75
374,-6.5728,43.1842,6.23
375,-6.5553,43.2142,4.84
376,-6.5844,43.232,3.81
377,-6.6661,43.2631,17.5
378,-6.6758,43.2689,18.99
379,-6.79,43.2017,4.85
380,-6.7694,43.2292,7.78
381,-6.7319,43.2597,5.91
382,-6.6705,43.3086,11.22
383,-6.6458,43.4691,4.91
384,-6.7269,43.332,10.7
385,-6.7569,43.3706,2.37
386,-6.8219,43.4406,8.87
387,-6.8358,43.4364,6.48
388,-6.9519,43.3703,8.38
389,-7.0125,43.347,2.56
390,-7.0267,43.3208,6.47
391,-6.9691,43.275,2.97
392,-6.86,43.2436,5.61
393,-6.9453,43.1347,5.85
394,-6.9547,43.1689,4.56
395,-7.0322,43.2736,5.36
396,-7.6697,43.5136,3.32
397,-7.5197,43.5813,5.43
398,-7.6461,43.5361,5.87
399,-7.4186,43.5947,11.6
400,-7.4953,43.5836,16.84
401,-7.4586,43.593,17.47
402,-7.4342,43.5872,6.67
403,-7.46,43.4466,9.5
404,-7.4053,43.4541,11.42
405,-7.6181,43.4208,3.14
406,-7.6308,43.448,3.56
407,-7.5331,43.5925,5.53
408,-7.5628,43.548,9.0
409,-7.4897,43.4466,7.28
410,-7.5091,43.5183,2.74
411,-7.6908,43.3086,5.32
412,-7.6686,43.4947,5.48
413,-7.5828,43.5538,2.22
414,-7.5836,43.5141,4.1
415,-7.4253,43.4758,8.02
416,-7.635,43.4863,6.4
417,-7.5303,43.4647,6.92
418,-7.5464,43.4338,5.31
419,-7.5386,43.4902,5.12
420,-7.5881,43.4705,7.09
421,-7.5942,43.4619,9.83
422,-7.5539,43.4638,5.93
423,-7.5336,43.5508,4.07
424,-7.4164,43.5911,2.34
425,-7.5389,43.5563,8.61
426,-7.5114,43.5413,34.63
427,-7.4497,43.4627,9.09
428,-7.4461,43.4214,4.66
429,-8.8003,41.9341,3.17
430,-8.6783,42.0759,7.91
431,-8.7022,42.0448,4.82
432,-8.6208,42.5759,3.49
433,-8.7837,43.1647,6.85
434,-8.7337,43.1508,9.48
435,-8.9337,43.2369,4.91
436,-8.1292,41.9014,4.38
437,-8.1503,42.2341,4.24
438,-8.0336,42.4507,5.09
439,-7.3653,43.6147,6.99
440,-6.5203,43.5133,2.51
441,-6.1264,43.4947,7.89
442,-6.1483,43.5333,9.05
443,-7.8403,43.4481,4.92
444,-7.9697,43.4341,5.9
445,-7.9531,43.4174,19.45
446,-8.4198,42.9841,6.95
447,-8.3948,43.3174,10.59
448,-8.3323,43.3841,0.98
449,-8.3387,43.3974,3.9
450,-8.442,42.9508,6.38
451,-8.9698,43.0341,3.98
452,-8.342,43.3008,2.24
453,-2.2333,43.1008,3.51
454,-2.4694,43.2036,2.37
455,-1.9277,43.3174,1.86
456,-2.3286,42.937,9.86
457,-7.695,43.5247,10.31
458,-7.0502,43.0897,3.3
459,-7.3252,42.4507,3.28
460,-7.5503,43.2508,3.02
461,-7.2503,42.9758,4.76
462,-6.9002,42.8008,5.58
463,-7.4875,42.6781,2.36
464,-7.3503,42.9258,3.01
465,-7.1363,42.8841,2.35
466,-7.303,42.6674,8.29
467,-0.7499,42.4563,2.43
468,-0.7415,42.4535,1.51
469,0.0085,42.573,2.34
470,0.1585,42.5702,2.59
471,0.1891,42.5591,2.47
472,0.1919,42.4369,1.15
473,0.9836,42.323,5.34
474,1.3419,42.3035,3.45
475,1.7503,42.0369,1.79
476,1.2641,41.9868,0.9
477,1.4641,42.023,2.45
478,1.403,42.0535,1.95
479,1.4808,42.0896,2.61
480,1.4975,42.0424,2.0
481,1.3891,42.0063,1.91
482,1.3419,41.9521,1.51
483,1.6753,41.973,1.87
484,1.6503,41.8702,1.0
485,1.6919,41.8591,2.99
486,1.8892,42.0035,2.08
487,1.7058,42.0063,1.4
488,1.581,41.9652,0.73
489,1.6753,41.9535,2.08
490,1.9808,42.0063,1.97
491,1.9753,42.0563,1.12
492,2.1336,41.8896,2.3
493,2.067,41.8063,2.45
494,0.9641,41.3702,2.27
495,0.903,41.3229,2.68
496,0.3002,40.8368,12.62
497,0.3335,40.7735,8.55
498,0.3252,40.6824,4.34
499,0.2224,40.7896,6.57
500,-0.6276,40.6396,8.84
501,-0.6499,40.6229,5.41
502,-0.5249,40.2757,10.41
503,-0.6749,40.3062,6.92
504,-0.7026,40.3229,2.85
505,-1.0193,40.4063,7.44
506,-1.3527,40.3396,10.93
507,-1.3582,40.3201,3.27
508,-0.8943,40.0229,0.64
509,-1.0138,40.0368,3.14
510,-0.986,40.0396,4.89
511,-1.1832,40.1285,4.45
512,-1.2027,40.1785,5.33
513,-1.386,40.2618,3.41
514,-1.3444,40.1896,4.22
515,2.017,41.3341,0.5
516,-1.5039,43.2488,5.22
517,-1.5394,43.156,1.97
518,-1.6667,43.1463,3.17
519,-1.6695,43.1745,3.02
520,-1.6689,43.1806,3.2
521,-1.7787,43.0082,3.62
