,Longitude,Latitude,C/N
624,-3.8443,41.0047,13.14
625,-3.807,41.0237,20.7
626,-3.8394,41.0622,12.56
627,-4.1256,40.7401,13.08
628,-4.1278,40.7732,13.7
629,-4.1759,40.7066,12.85
630,-4.0964,40.7785,17.78
631,-4.0937,40.7976,19.71
632,-4.187,40.7082,13.46
633,-3.8394,41.0145,12.78
634,-3.7992,40.9978,21.43
635,-3.8114,41.0126,18.53
636,-3.6125,41.1507,13.2
637,-3.5939,41.1638,13.24
638,-3.6935,41.0861,12.32
639,-3.7124,41.0887,13.05
640,-3.6565,41.1548,14.7
641,-3.6789,41.1083,11.22
642,-3.6843,41.1114,12.44
643,-3.6654,41.1318,5.66
644,-3.8608,41.0598,18.17
645,-3.8557,41.063,13.52
646,-4.0037,40.8821,21.55
647,-4.0439,40.88,14.48
648,-3.4861,38.4315,5.73
649,-4.4167,39.0007,3.53
650,-3.7,39.234,8.52
651,-4.5334,39.134,17.72
652,-4.4195,39.4007,33.53
653,-1.8666,40.2174,28.16
654,-2.3666,40.084,21.14
655,-2.8591,40.1553,5.52
656,-1.9505,40.4479,28.77
657,-1.6556,40.0037,8.53
658,-1.9244,40.3305,5.04
659,-2.161,39.6297,12.36
660,-2.15,40.2507,9.01
661,-2.3666,40.384,1.71
662,-2.3,40.7507,8.47
663,-2.3666,41.0174,9.49
664,-2.9808,40.3174,9.86
665,-1.9999,40.6674,18.14
666,-1.7092,40.5884,22.47
667,-3.1528,40.8648,2.65
668,-3.4,41.0674,30.52
669,-2.1689,40.9001,4.95
670,-3.4,40.8507,9.05
671,-3.1,41.1924,19.23
672,-2.95,40.9757,11.17
673,-3.1654,40.5516,13.58
674,-3.1182,40.5967,4.31
675,-3.0472,40.4527,8.82
676,-2.9051,40.849,9.87
677,-3.35,41.0341,17.28
678,-2.9644,40.8492,7.35
679,-1.9361,40.6174,29.98
680,-2.975,42.0007,6.95
681,-5.0668,40.3007,10.87
682,-4.5834,40.2174,3.83
683,-5.1207,40.1426,21.65
684,-2.4688,40.5145,8.95
685,-2.0299,40.6648,22.39
686,-1.9113,40.6818,10.93
687,-2.0986,40.8365,9.76
688,-1.9861,40.7731,16.09
689,-3.2167,41.2674,13.84
690,-3.3361,40.834,3.17
691,-2.1166,40.734,11.22
692,-6.2335,42.2674,9.81
693,-6.2335,42.5577,6.19
694,-6.2835,42.9174,17.44
695,-5.5335,42.9508,6.36
696,-5.7863,42.8008,8.56
697,-6.8336,42.7174,7.46
698,-3.9862,40.7174,10.61
699,-3.6195,41.0924,8.34
700,-3.5789,40.8814,11.96
701,-3.9334,40.634,7.92
702,-4.2001,40.484,13.03
703,-3.8334,40.6174,1.17
704,-3.6,40.8674,11.59
705,-3.55,41.0674,6.02
706,-3.9334,40.5507,16.14
707,-4.1028,40.734,8.47
708,-3.5667,41.034,1.85
709,-3.45,41.084,10.41
710,-4.0334,40.7257,6.45
711,-4.3751,40.3674,1.61
712,-3.5292,41.0146,8.66
713,-3.575,41.1243,10.53
714,-4.2334,40.491,8.78
715,-3.9834,40.3674,2.71
716,-0.1415,40.6896,19.72
717,-0.2193,40.5535,20.48
718,-0.2415,40.5701,21.02
719,-0.2276,40.5396,19.94
720,-0.3443,40.3229,16.5
721,-0.3582,40.259,22.01
722,-2.5166,38.3423,14.36
723,-2.5833,38.3784,15.78
724,-2.5166,38.309,18.58
725,-2.5305,38.2729,18.27
726,-2.6139,38.2562,14.26
727,-2.5861,38.2534,25.06
728,-2.5972,38.2423,28.07
729,-2.6,38.2284,20.85
730,-2.6305,38.2284,18.09
731,-2.7528,38.0895,17.74
732,-2.9528,37.9701,18.78
733,-2.9167,37.9395,24.06
734,-2.8028,37.9201,13.6
735,-2.8361,37.8228,18.02
736,-2.975,37.8562,17.33
737,-2.9778,37.8395,19.7
738,-3.0056,37.7562,24.9
739,-2.9861,37.7117,21.08
740,-2.55,37.9228,25.01
741,-2.4944,37.9756,17.67
742,-2.4389,38.0562,24.57
743,-5.9002,38.734,3.24
744,-4.8334,39.2173,34.17
745,-5.9502,38.7507,12.43
746,-5.9418,38.7423,4.64
747,-4.8584,39.234,3.19
748,-6.8835,38.4506,24.78
749,-2.9756,36.8034,41.86
750,-2.5806,37.2759,15.5
751,-2.5814,37.2726,11.34
752,-2.5797,37.2657,5.76
753,-2.5811,37.2521,6.89
754,-2.5811,37.2634,7.34
755,-2.5825,37.2543,9.45
756,-2.5819,37.2682,6.92
757,-2.5819,37.2701,6.9
758,-2.5678,37.2496,4.84
759,-2.575,37.2548,3.22
760,-2.57,37.2526,7.56
761,-2.58,37.2801,11.63
762,-2.63,37.2843,1.94
763,-2.6356,37.2848,6.2
764,-2.7877,37.3644,23.8
765,-2.7775,37.3585,20.53
766,-2.7643,37.3705,18.17
767,-5.6113,40.084,5.75
768,-5.9029,40.0901,10.04
769,-5.7585,40.084,18.05
770,-5.8021,40.334,16.0
771,-5.7196,39.7007,22.74
772,-6.7085,40.209,16.42
773,-5.6696,36.6173,10.44
774,0.0502,40.584,5.36
775,0.1127,40.1135,1.95
776,0.0502,40.6507,25.19
777,-4.9334,38.1173,15.03
778,-4.2167,38.2423,11.63
779,-6.3526,40.193,16.86
780,-7.2986,39.3637,22.28
781,-7.2699,39.3433,18.32
782,-7.2459,39.3262,25.71
783,-5.3603,39.4826,9.24
784,-5.3445,39.4051,23.03
785,-5.4103,39.5904,15.61
786,-5.4536,39.5129,10.84
787,-5.585,39.3876,11.9
788,-5.3444,39.4717,19.77
789,-5.3523,39.4523,10.48
790,-5.3374,39.4138,7.85
791,-6.7818,40.2219,6.69
792,-6.7876,40.1947,11.72
793,-6.2985,40.2963,20.18
794,-5.8679,40.2676,3.25
795,-5.8767,40.2586,27.88
796,-5.7869,40.0565,24.75
797,-6.3382,40.3398,8.53
798,-6.7846,40.2259,6.48
799,-6.2772,40.2967,10.66
800,-5.8621,40.3267,13.84
801,-5.8295,40.3221,21.35
802,-5.3355,39.4713,11.64
803,-6.2772,40.4092,13.91
804,-6.3869,40.3813,8.38
805,-6.2635,40.3586,6.34
806,-6.7783,40.2392,19.34
807,-5.67,40.2689,20.23
808,-5.7373,40.2164,6.19
809,-3.4334,36.9673,7.72
810,-3.4,36.9506,38.02
811,-2.8694,37.3839,14.73
812,-6.4155,39.007,2.01
813,-5.9002,40.2174,6.36
814,-6.4481,37.5801,15.84
815,-6.7502,37.1173,7.13
816,-3.0167,37.884,6.38
817,-2.7833,38.1173,10.86
818,-3.8,40.4007,1.25
819,-3.5695,40.2757,10.01
820,-3.225,40.5138,13.74
821,-4.3504,40.2904,7.67
822,-3.8056,40.7496,13.49
823,-5.0168,36.6989,5.87
824,-4.9692,36.752,19.08
825,-0.8416,37.6012,17.05
826,-4.7168,42.9174,10.92
827,-8.7448,42.0257,11.92
828,-2.5833,42.0774,2.35
829,-2.8333,42.3027,4.73
830,-6.0699,40.434,11.94
831,-6.1946,40.5493,5.37
832,-6.0593,40.479,17.09
