,Point_ID,Clay,Sand,Silt,pH(CaCl2),pH(H2O),EC,OC,CaCO3,P,N,K,Latitude,Longitude,Date,Date Before,Date After,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,NDVI
475,39662306,,,,7.0,7.34,15.45,40.7,301,7.1,2.7,182.6,43.769480223,5.598749006,2015-07-16,2015-06-29,2015-08-02,3423,4387,4255,3935,3554,3913,3831,5643,3884,2953,993,3590,2270,0.1783253288786803
476,39282320,,,,8.1,9.07,7.24,5.6,962,0.0,0.0,4.3,43.874301096,5.118049914,2015-07-28,2015-07-11,2015-08-14,2829,3037,3571,4380,4284,4832,5410,5048,5622,1064,18,6193,4625,0.07085277895630038
477,34742710,,,,6.0,6.42,17.44,14.8,0,45.4,1.7,252.6,46.928305046999995,-1.160009525,2015-07-24,2015-07-07,2015-08-10,3512,3163,2959,2984,3527,4039,4408,4303,4643,2459,93,4165,3438,0.1810072732262934
478,34402672,,,,5.7,6.07,18.16,10.8,0,47.6,1.3,76.8,46.544047668000005,-1.52729531,2015-07-07,2015-06-20,2015-07-24,3899,3888,3663,3802,3944,4531,4965,4722,5167,2034,870,3443,2937,0.10793054903801032
479,34842706,,,,6.9,6.22,8.1,21.3,0,54.0,2.4,128.1,46.906181286000006,-1.022442144,2015-07-02,2015-06-15,2015-07-19,3594,3698,3461,3649,3689,4264,4647,4567,4917,1840,713,3644,2839,0.1117332035053554
480,39222348,,,,7.6,8.16,11.54,6.6,275,18.4,0.7,103.7,44.122695827,5.02189634,2015-07-14,2015-06-27,2015-07-31,5879,5775,5319,5472,5575,5856,6093,5981,6197,3571,380,2705,2451,0.044442504147384966
481,36362380,,,,7.4,7.71,19.14,12.9,56,7.1,1.9,134.6,44.176926885,1.431430472,2015-08-12,2015-07-26,2015-08-29,1237,1164,1189,1369,1271,1758,2052,1995,2249,546,10,2200,1453,0.18608799048751487
482,35942620,,,,4.7,5.06,15.03,13.2,0,69.3,1.5,165.7,46.276393958999996,0.549496593,2015-07-20,2015-07-03,2015-08-06,1656,1500,1598,2056,2292,2689,2895,2836,3344,601,13,3853,2847,0.15944399018806213
483,35882662,,,,7.4,7.73,19.37,30.8,53,48.0,3.2,351.6,46.644164841000006,0.404689459,2015-07-09,2015-06-22,2015-07-26,1482,1315,1335,1734,1925,2235,2562,2451,2927,576,13,3375,2084,0.17132616487455196
484,35622658,,,,4.8,5.18,8.39,7.8,0,41.7,1.1,93.4,46.577786785,0.07452785200010001,2015-07-13,2015-06-26,2015-07-30,1594,1463,1521,1877,1930,2419,2617,2720,2898,1164,93,2820,2039,0.18338046552099196
