,Longitude,Latitude,Na [mg/kg]
622,1.0169,42.5674,115.0
623,1.4003,42.5508,138.0
624,1.4341,41.8796,69.0
625,1.4003,41.8007,69.0
626,1.3752,41.7196,23.0
627,0.5335,41.5341,46.0
628,1.2975,41.6052,138.0
629,1.3919,41.7757,46.0
630,1.4003,41.7757,23.0
631,1.4003,41.7841,23.0
632,1.3919,41.7924,23.0
633,0.6002,41.5591,46.0
634,1.6808,42.4199,805.0
635,1.4286,42.5908,46.0
636,0.5835,41.5257,46.0
637,0.4169,41.3174,92.0
638,-7.7503,43.3508,115.0
639,-7.4169,43.3841,69.0
640,-7.3836,43.4675,207.0
641,-7.2669,43.4841,23.0
642,-7.7336,43.2174,460.0
643,-7.6003,43.2674,69.0
644,-7.5336,43.2674,23.0
645,-7.5336,43.2841,23.0
646,-7.4669,43.2841,23.0
647,-7.4336,43.2008,23.0
648,-7.6003,43.1008,23.0
649,-7.4669,43.1508,23.0
650,-7.0669,43.1341,207.0
651,-7.817,42.8841,115.0
652,-7.7336,42.9008,23.0
653,-7.5003,42.8841,92.0
654,-7.1669,42.8841,184.0
655,-7.7003,42.8174,460.0
656,-7.4336,42.8008,69.0
657,-7.4003,42.7841,69.0
658,-7.5003,42.7008,92.0
659,-7.7669,42.5841,69.0
660,-7.4669,42.5841,69.0
661,-7.5169,42.4841,230.0
662,-7.123,42.6658,46.0
663,-7.4725,43.4302,322.0
664,-3.6153,41.1174,23.0
665,-3.8667,40.884,23.0
666,-3.7,40.9674,46.0
667,-3.75,40.834,46.0
668,-4.0834,40.7507,92.0
669,-3.9505,40.8629,23.0
670,-3.8,40.834,23.0
671,-4.1497,40.5679,460.0
672,-4.0667,40.6507,69.0
673,-3.9001,40.6174,115.0
674,-3.6667,40.5507,46.0
675,-3.6167,40.5507,184.0
676,-3.45,40.6174,3082.0
677,-3.3,40.5674,414.0
678,-3.2667,40.5174,23.0
679,-4.3334,40.3674,92.0
680,-4.0334,40.4007,299.0
681,-3.6667,40.3507,138.0
682,-3.5334,40.4174,92.0
683,-4.4668,40.284,161.0
684,-4.0667,40.3174,92.0
685,-3.6,40.3174,92.0
686,-3.4,40.2507,69.0
687,-3.5834,40.1174,391.0
688,-3.3,40.1007,598.0
689,-3.25,40.1507,23.0
690,-3.7667,39.934,115.0
691,-3.7834,39.934,46.0
692,-3.6,40.7507,23.0
693,-3.6167,40.834,23.0
694,-3.6334,40.8507,23.0
695,-3.7167,40.9674,23.0
696,-4.2167,40.5007,23.0
697,-4.6501,37.0006,23.0
698,-4.7668,36.8506,115.0
699,-4.7501,36.8339,138.0
700,-4.5134,36.9653,23.0
701,-4.4506,36.9839,23.0
702,-4.4504,36.9839,46.0
703,-4.6234,36.72,23.0
704,-4.5906,36.7634,368.0
705,-4.6987,36.6945,368.0
706,-4.6584,36.7089,207.0
707,-4.5923,36.6867,322.0
708,-4.3667,36.7673,230.0
709,-4.2667,36.8173,69.0
710,-3.9834,36.8173,46.0
711,-4.8501,36.5173,23.0
712,-4.7668,36.5673,92.0
713,-4.6606,36.6934,23.0
714,-4.6254,36.7495,414.0
715,-4.5695,36.6887,322.0
716,-4.5426,36.9559,299.0
