,Longitude,Latitude,Silt [%]
564,0.853,41.4702,49.5
565,0.8502,41.4646,50.3
566,0.8808,41.4535,53.4
567,-0.4193,41.1202,31.0
568,-0.3499,41.009,30.6
569,-0.1748,40.9229,43.3
570,0.1002,40.8507,43.8
571,0.0863,40.8646,41.8
572,-0.0248,40.8007,21.0
573,-0.0526,40.7952,43.3
574,-0.0776,40.784,45.0
575,-0.911,42.1341,52.8
576,-0.9319,42.2559,48.0
577,2.1855,42.3009,39.9
578,2.0692,42.2599,59.9
579,2.1142,42.2994,40.4
580,2.1281,42.298,41.2
581,2.1281,42.2835,44.3
582,2.1781,41.9118,52.2
583,2.1809,41.9118,64.1
584,2.2114,41.9618,60.9
585,2.3289,41.8993,19.0
586,2.4198,41.951,36.0
587,2.417,41.9355,11.6
588,2.4031,41.9591,11.8
589,2.0086,42.2341,33.5
590,2.0156,42.2327,42.3
591,1.86,42.2507,49.7
592,1.7578,42.2196,27.2
593,1.7286,42.2341,50.8
594,1.678,42.2257,45.7
595,1.2614,42.3341,39.7
596,1.7483,42.3285,42.5
597,1.7905,42.3341,54.7
598,1.3378,42.428,32.3
599,1.3169,42.4299,31.1
600,1.1794,42.448,31.0
601,1.3244,42.5952,47.0
602,1.3419,42.5377,52.0
603,0.2307,42.6346,46.7
604,-0.0717,42.6481,41.4
605,0.1991,42.6327,40.4
606,-0.6561,42.7453,45.6
607,-0.7195,42.7258,55.6
608,-0.795,42.7425,51.2
609,-0.8272,42.7356,56.2
610,-0.8625,42.9217,54.3
611,-1.0728,42.8953,66.8
612,-1.1389,42.9264,57.3
613,-1.4249,42.9437,60.1
614,-1.3706,42.8453,34.6
615,-1.1272,42.7036,31.6
616,-1.1939,42.7461,63.2
617,-1.0111,42.6617,65.8
618,-0.927,42.6642,66.0
619,-0.9792,42.4353,57.9
620,-0.9914,42.3814,29.9
621,-0.5292,42.5267,25.5
622,-0.6221,42.3494,50.9
623,-1.6583,40.4618,36.6
624,-1.6633,40.4945,61.8
625,-1.6328,40.5287,52.0
626,-1.6256,40.3878,18.8
627,-1.4416,40.2785,28.0
628,1.0872,41.3591,30.5
629,1.0511,41.3368,13.3
630,0.2974,40.7118,74.6
631,0.246,40.7474,41.3
632,-0.6889,40.4003,35.0
633,-0.6972,40.4076,30.0
634,-0.8416,40.4062,29.9
635,2.1503,41.4202,23.1
636,2.4059,41.5852,14.3
637,2.3975,41.5868,22.7
638,2.4086,41.5743,15.0
639,2.3734,41.6231,10.3
640,2.3531,41.6285,31.2
641,2.3684,41.6266,20.1
642,2.7309,41.7332,16.5
643,2.7239,41.6646,19.0
644,2.3856,41.9327,22.7
645,2.3036,41.8757,15.0
646,2.4475,41.7507,43.6
647,2.3836,41.7549,31.9
648,2.7225,41.8507,24.5
649,2.7003,41.871,18.7
650,2.6239,41.7924,21.4
651,2.8328,41.8446,32.9
652,2.6975,41.7466,20.9
653,3.1017,41.9652,25.7
654,3.192,41.9907,2.8
655,2.5525,41.8152,12.5
656,2.6753,42.1424,44.7
657,2.8339,42.2096,33.5
658,3.0651,41.8091,20.9
659,3.0434,41.7932,17.6
660,-1.4464,41.2995,30.7
661,-1.4369,41.2809,44.0
662,-1.4172,41.2964,28.6
663,-1.1014,41.1773,42.1
664,-1.0903,41.1953,42.7
665,-0.6911,40.2413,9.2
666,-0.7695,40.2699,24.7
667,-0.8125,40.3523,15.2
668,-1.2589,40.3517,26.2
669,-1.3883,40.5023,34.8
670,-1.3742,40.3931,38.5
671,2.9337,41.9507,47.4
672,2.8837,42.0007,38.0
673,1.8308,42.3507,40.2
674,2.5725,41.8604,15.0
675,3.1837,42.0841,27.5
676,-0.4526,42.3341,33.5
677,0.353,42.6674,28.4
678,-0.5332,42.4508,29.0
679,-0.286,42.6841,44.0
680,0.0335,42.6008,27.0
681,-0.5832,42.6841,39.0
682,-0.2526,42.6341,43.0
683,-0.2998,42.2341,45.6
684,0.6697,42.7841,34.5
685,0.8502,42.5174,37.5
686,-1.4249,40.0229,13.2
687,-1.511,39.9729,8.8
688,-1.6027,40.0896,59.5
689,-1.6305,40.0285,69.7
690,-1.8083,39.7896,50.7
691,-1.8333,39.7868,37.6
692,-1.9249,39.8757,29.9
693,-2.1,39.8562,47.6
694,-2.2472,39.9731,17.5
695,-2.0416,40.0229,35.3
696,-2.0416,40.0285,43.5
697,-2.3944,40.0729,24.9
698,-2.0444,40.1229,43.5
699,-2.0456,40.0495,42.0
700,-2.1861,40.1868,34.3
701,-1.9249,40.2257,68.2
702,-2.0138,40.259,23.5
703,-1.8333,40.3701,33.2
704,-1.8833,40.3896,45.8
705,-2.1583,40.3868,39.3
706,-2.2611,40.4451,19.6
707,-2.1583,40.459,23.6
708,-2.0916,40.4951,19.5
709,-2.0111,40.5896,67.8
710,-2.1027,40.5896,42.4
711,-2.0805,40.5868,49.6
712,-2.2777,40.5729,56.4
713,-2.1861,40.609,42.1
714,-2.25,40.7257,28.2
715,-2.3639,40.6424,50.3
716,-2.2138,40.6924,16.9
717,-2.1861,40.7229,33.5
718,-2.1527,40.7979,36.8
719,-2.1277,40.659,22.8
720,-2.1166,40.6563,46.1
721,-3.325,41.6452,62.7
722,-3.3139,41.6396,34.8
723,-4.8695,40.4563,20.4
724,-2.3639,38.6562,44.4
725,-2.35,38.6423,73.3
726,-2.3666,38.6118,40.0
727,-2.38,38.5562,49.4
728,-2.4027,38.5395,67.6
729,-2.2889,38.4729,34.6
730,-2.6805,38.4201,35.1
731,-2.2666,38.134,36.7
732,-2.3,38.0951,57.9
733,-1.2999,39.034,58.1
734,-2.7667,39.0007,30.0
735,-2.05,38.3315,64.0
736,-4.6474,40.3297,25.0
737,-4.4445,40.7424,27.0
738,-4.9787,40.391,24.5
739,-5.1923,40.1812,10.5
740,-5.0196,41.0007,23.0
741,-4.5951,40.384,25.7
742,-4.8696,40.284,18.5
743,-4.4931,40.6001,37.5
744,-4.3844,40.5259,21.0
745,-4.9862,40.1673,19.0
746,-5.0362,40.234,26.0
747,-5.1779,40.2174,41.0
748,-4.7362,41.0174,11.3
749,-4.9362,40.2007,16.8
750,-5.2501,40.4507,23.0
751,-4.4612,40.5965,24.5
752,-4.3945,40.6257,16.5
753,-4.3444,40.5814,22.0
754,-4.3489,40.5759,13.0
755,-4.5001,40.7174,56.5
756,-4.1832,40.6738,20.0
757,-4.2014,40.6148,13.0
758,-4.4195,40.5479,19.5
759,-4.5529,40.3174,16.5
760,-4.8998,40.2499,21.0
761,-4.6836,40.3184,22.0
762,-4.9001,40.259,14.0
763,-4.9696,40.2507,9.1
764,-4.6146,40.194,19.5
765,-4.719,40.9757,5.0
766,-4.6861,40.9648,7.3
767,-5.5863,40.334,28.5
768,-4.3529,40.5707,21.0
769,-4.5001,40.5007,30.0
770,-4.6737,40.8257,25.0
771,-4.5668,40.3507,10.8
772,-5.0362,40.234,21.0
773,-5.2668,40.684,9.4
774,-4.9834,40.4007,24.2
775,-4.9862,40.3174,14.0
776,-4.6195,40.2049,15.3
777,-4.5001,40.384,23.0
778,-4.5001,40.334,30.6
779,-3.175,42.8341,40.5
