,Longitude,Latitude,K [mg/kg]
503,-2.1583,40.3868,224.0
504,-2.2611,40.4451,92.0
505,-2.1583,40.459,103.0
506,-2.0916,40.4951,246.0
507,-2.0111,40.5896,217.0
508,-2.1027,40.5896,229.0
509,-2.0805,40.5868,94.0
510,-2.2777,40.5729,114.0
511,-2.1861,40.609,429.0
512,-2.25,40.7257,155.0
513,-2.3639,40.6424,164.0
514,-2.2138,40.6924,80.0
515,-2.1861,40.7229,116.0
516,-2.1527,40.7979,186.0
517,-2.1277,40.659,226.0
518,-2.1166,40.6563,178.0
519,-3.325,41.6452,220.0
520,-3.3139,41.6396,132.0
521,-4.8695,40.4563,137.0
522,-2.3639,38.6562,567.0
523,-2.35,38.6423,135.0
524,-2.3666,38.6118,316.0
525,-2.38,38.5562,157.0
526,-2.4027,38.5395,171.0
527,-2.2889,38.4729,279.0
528,-2.6805,38.4201,144.0
529,-2.2666,38.134,268.0
530,-2.3,38.0951,189.0
531,-3.3334,42.3674,343.0
532,-3.5417,42.0674,91.0
533,-3.125,41.9341,10.0
534,-3.4393,42.0626,158.0
535,-4.7445,40.4618,130.0
536,-4.0042,40.7877,154.0
537,-4.0112,40.7707,451.0
538,-4.049,40.7596,427.0
539,-4.0684,40.7735,326.0
540,-4.1421,40.6231,245.0
541,-4.1672,40.6008,541.0
542,-4.1357,40.63,323.0
543,-4.1538,40.65,175.0
544,-4.0276,40.7338,484.0
545,-4.0812,40.7315,327.0
546,-4.156,40.6045,246.0
547,-4.199,40.5663,211.0
548,-4.1775,40.5818,371.0
549,-4.1768,40.5773,427.0
550,-4.1378,40.7088,343.0
551,-4.002,40.689,165.0
552,-4.0042,40.6901,185.0
553,-4.0565,40.7732,430.0
554,-4.1349,40.6156,292.0
555,-4.114,40.641,603.0
556,-4.0322,40.7328,436.0
557,-4.0801,40.7438,490.0
558,-4.1689,40.5976,396.0
559,-4.0392,40.6926,543.0
560,-4.0161,40.5779,384.0
561,-4.0051,40.6751,226.0
562,-3.9688,40.577,353.0
563,-4.1118,40.614,500.0
564,-4.0389,40.6899,433.0
565,-4.0825,40.589,525.0
566,-4.0101,40.6774,498.0
567,-3.9609,40.6036,416.0
568,-3.9603,40.5581,400.0
569,-4.0239,40.5094,409.0
570,-4.0341,40.517,217.0
571,-3.9767,40.5517,231.0
572,-3.9217,40.9318,381.0
573,-3.8385,40.8323,314.0
574,-3.8041,40.83,500.0
575,-3.7688,40.8537,435.0
576,-3.7762,40.8771,500.0
577,-3.7864,40.9401,364.0
578,-3.6427,40.9436,500.0
579,-3.7987,40.9742,500.0
580,-3.7475,41.0126,169.0
581,-3.8739,40.909,303.0
582,-3.9601,40.816,172.0
583,-3.9139,40.8329,262.0
584,-3.6753,41.0556,500.0
585,-3.8534,40.7867,179.0
586,-3.9992,40.8549,118.0
587,-4.0167,40.8674,219.0
588,-4.0462,40.8451,121.0
589,-3.9072,41.018,500.0
590,-4.1794,40.7079,468.0
591,-3.8443,41.0047,187.0
592,-3.807,41.0237,500.0
593,-3.8394,41.0622,263.0
594,-4.1256,40.7401,380.0
595,-4.1278,40.7732,447.0
596,-4.1759,40.7066,500.0
597,-4.0964,40.7785,359.0
598,-4.0937,40.7976,306.0
599,-4.187,40.7082,500.0
600,-3.8394,41.0145,316.0
601,-3.7992,40.9978,199.0
602,-3.8114,41.0126,159.0
603,-3.6125,41.1507,166.0
604,-3.5939,41.1638,157.0
605,-3.6935,41.0861,336.0
606,-3.7124,41.0887,402.0
607,-3.6565,41.1548,213.0
608,-3.6789,41.1083,243.0
609,-3.6843,41.1114,250.0
610,-3.6654,41.1318,310.0
611,-3.8608,41.0598,231.0
612,-3.8557,41.063,210.0
613,-4.0037,40.8821,327.0
614,-4.0439,40.88,349.0
615,-4.4167,39.0007,68.0
616,-3.7,39.234,69.0
617,-2.8591,40.1553,214.0
618,-1.9505,40.4479,200.0
619,-1.6556,40.0037,75.0
620,-2.95,40.9757,200.0
621,-2.975,42.0007,181.0
622,-5.0668,40.3007,117.0
623,-4.5834,40.2174,165.0
624,-5.1207,40.1426,45.0
625,-3.3361,40.834,89.0
626,-6.2335,42.5577,50.0
627,-3.8334,40.6174,65.0
628,-3.9334,40.5507,70.0
629,-3.5834,40.3007,219.0
630,-3.5667,41.034,119.0
631,-4.0334,40.7257,182.0
632,-3.9667,40.3007,63.0
633,-3.5292,41.0146,315.0
634,-3.575,41.1243,208.0
635,-3.9834,40.3674,115.0
636,-0.1415,40.6896,237.0
637,-0.2193,40.5535,183.0
638,-0.2415,40.5701,227.0
639,-0.2276,40.5396,281.0
640,-0.3443,40.3229,109.0
641,-0.3582,40.259,248.0
642,-2.5166,38.3423,106.0
643,-2.5833,38.3784,139.0
644,-2.5166,38.309,136.0
645,-2.5305,38.2729,119.0
646,-2.6139,38.2562,341.0
647,-2.5861,38.2534,306.0
648,-2.5972,38.2423,372.0
649,-2.6,38.2284,307.0
650,-2.6305,38.2284,354.0
651,-2.7528,38.0895,162.0
652,-2.9528,37.9701,300.0
653,-2.9167,37.9395,58.0
654,-2.8028,37.9201,69.0
655,-2.8361,37.8228,194.0
656,-2.975,37.8562,90.0
657,-2.9778,37.8395,303.0
658,-3.0056,37.7562,294.0
659,-2.9861,37.7117,291.0
660,-2.55,37.9228,418.0
661,-2.4944,37.9756,284.0
662,-2.4389,38.0562,155.0
663,-4.8334,39.2173,50.0
664,-4.8584,39.234,20.0
665,-2.9756,36.8034,28.0
666,-2.5806,37.2759,78.0
667,-2.5814,37.2726,96.0
668,-2.5797,37.2657,103.0
669,-2.5811,37.2521,81.0
670,-2.5811,37.2634,83.0
671,-2.5825,37.2543,101.0
672,-2.5819,37.2682,63.0
673,-2.5819,37.2701,101.0
674,-2.5678,37.2496,103.0
675,-2.575,37.2548,87.0
676,-2.57,37.2526,83.0
677,-2.58,37.2801,101.0
678,-2.63,37.2843,63.0
679,-2.6356,37.2848,48.0
680,-5.6113,40.084,255.0
681,-5.9029,40.0901,664.0
682,-5.8021,40.334,113.0
683,0.1127,40.1135,35.0
684,-6.3526,40.193,90.0
685,-7.2986,39.3637,142.0
686,-7.2699,39.3433,107.0
687,-7.2459,39.3262,44.0
688,-5.3603,39.4826,170.0
689,-5.3445,39.4051,90.0
690,-5.4103,39.5904,193.0
691,-5.4536,39.5129,112.0
692,-5.585,39.3876,395.0
693,-5.3444,39.4717,172.0
694,-5.3523,39.4523,63.0
695,-5.3374,39.4138,133.0
696,-6.7818,40.2219,115.0
697,-6.7876,40.1947,114.0
698,-6.2985,40.2963,155.0
699,-5.8679,40.2676,247.0
700,-5.8767,40.2586,130.0
701,-5.7869,40.0565,82.0
702,-6.3382,40.3398,34.0
703,-6.7846,40.2259,163.0
704,-6.2772,40.2967,56.0
705,-5.8621,40.3267,415.0
706,-5.8295,40.3221,371.0
707,-5.3355,39.4713,215.0
708,-6.2772,40.4092,39.0
709,-6.3869,40.3813,25.0
710,-6.2635,40.3586,72.0
711,-6.7783,40.2392,148.0
712,-5.67,40.2689,223.0
713,-5.7373,40.2164,204.0
714,-6.4155,39.007,91.0
715,-5.9002,40.2174,170.0
716,-3.0167,37.884,355.0
717,-2.7833,38.1173,445.0
718,-5.0168,36.6989,123.0
719,-4.9692,36.752,65.0
720,-2.8333,42.3027,130.0
721,-6.1946,40.5493,97.0
722,-3.9195,43.3966,107.0
723,-4.0251,43.2508,97.0
724,-4.4029,41.0257,57.0
725,-4.2834,41.3674,116.0
726,-4.3917,41.3216,30.0
727,-4.1723,41.3313,10.0
728,-4.2626,41.3216,28.0
729,-4.1445,40.8007,106.0
730,-3.8081,41.1368,60.0
731,-3.9417,41.1757,57.0
732,-3.5417,41.3257,162.0
733,-3.4095,41.2174,105.0
734,-4.3956,41.4118,230.0
735,-4.5284,41.159,33.0
736,-2.4833,42.0096,90.0
737,-2.4061,41.0924,212.0
738,-2.4029,42.0841,172.0
739,-2.7,41.9619,52.0
