,Longitude,Latitude,P [mg/kg]
470,-1.386,40.2618,5.0
471,-1.3444,40.1896,5.0
472,-1.5039,43.2488,50.0
473,-1.5394,43.156,23.0
474,-1.6667,43.1463,92.0
475,-1.6695,43.1745,250.0
476,-1.6689,43.1806,250.0
477,-1.7787,43.0082,167.0
478,-2.004,43.0623,236.0
479,-1.902,43.2031,183.0
480,-1.902,43.2053,250.0
481,-1.8578,43.167,180.0
482,-1.682,43.2442,250.0
483,-1.7208,43.262,128.0
484,-1.6833,43.2531,29.0
485,-1.6608,43.2933,250.0
486,-1.6522,43.2597,77.0
487,2.9337,41.9507,2.5
488,0.353,42.6674,1.0
489,-0.5332,42.4508,0.9
490,0.0335,42.6008,9.6
491,-0.5832,42.6841,9.6
492,-0.2998,42.2341,0.5
493,-1.4249,40.0229,48.0
494,-1.511,39.9729,21.0
495,-1.6027,40.0896,5.0
496,-1.6305,40.0285,43.0
497,-1.8083,39.7896,4.0
498,-1.8333,39.7868,60.0
499,-1.9249,39.8757,51.0
500,-2.1,39.8562,2.0
501,-2.2472,39.9731,57.0
502,-2.0416,40.0229,43.0
503,-2.0416,40.0285,26.0
504,-2.3944,40.0729,82.0
505,-2.0444,40.1229,74.0
506,-2.0456,40.0495,80.0
507,-2.1861,40.1868,2.0
508,-1.9249,40.2257,34.0
509,-2.0138,40.259,54.0
510,-1.8333,40.3701,30.0
511,-1.8833,40.3896,10.0
512,-2.1583,40.3868,16.0
513,-2.2611,40.4451,61.0
514,-2.1583,40.459,31.0
515,-2.0916,40.4951,17.0
516,-2.0111,40.5896,30.0
517,-2.1027,40.5896,30.0
518,-2.0805,40.5868,30.0
519,-2.2777,40.5729,2.0
520,-2.1861,40.609,14.0
521,-2.25,40.7257,9.0
522,-2.3639,40.6424,26.0
523,-2.2138,40.6924,30.0
524,-2.1861,40.7229,30.0
525,-2.1527,40.7979,15.0
526,-2.1277,40.659,37.0
527,-2.1166,40.6563,26.0
528,-3.325,41.6452,29.0
529,-3.3139,41.6396,35.0
530,-4.8695,40.4563,33.0
531,-2.3639,38.6562,77.0
532,-2.35,38.6423,85.0
533,-2.3666,38.6118,97.0
534,-2.38,38.5562,85.0
535,-2.4027,38.5395,70.0
536,-2.2889,38.4729,95.0
537,-2.6805,38.4201,97.0
538,-2.2666,38.134,41.0
539,-2.3,38.0951,44.0
540,-4.5668,40.3507,3.4
541,-5.0362,40.234,15.9
542,-5.2668,40.684,13.8
543,-4.9862,40.3174,11.0
544,-4.6195,40.2049,6.5
545,-4.5001,40.384,3.0
546,-4.5001,40.334,1.9
547,-3.9028,41.6507,3.8
548,-3.3334,42.3674,3.0
549,-3.5417,42.0674,3.8
550,-3.3167,42.0174,6.4
551,-3.125,41.9341,1.3
552,-3.1333,42.3091,6.0
553,-3.4393,42.0626,2.3
554,-3.3806,41.8923,2.5
555,-2.9667,41.9674,8.6
