,Longitude,Latitude,Litho [%] (Coarse material)
432,-8.7837,43.1647,10.08
433,-8.7337,43.1508,33.31
434,-8.9337,43.2369,37.89
435,-8.1292,41.9014,33.79
436,-8.1503,42.2341,57.25
437,-8.0336,42.4507,13.6
438,-7.3653,43.6147,62.22
439,-6.5203,43.5133,0.87
440,-6.1264,43.4947,45.55
441,-6.1483,43.5333,20.37
442,-7.8403,43.4481,2.33
443,-7.9697,43.4341,5.63
444,-7.9531,43.4174,61.26
445,-8.4198,42.9841,15.4
446,-8.3948,43.3174,31.53
447,-8.3323,43.3841,50.29
448,-8.3387,43.3974,19.31
449,-8.442,42.9508,24.41
450,-8.9698,43.0341,6.68
451,-8.342,43.3008,30.6
452,-2.2333,43.1008,9.2
453,-2.4694,43.2036,18.84
454,-1.9277,43.3174,35.67
455,-2.3286,42.937,7.16
456,-7.695,43.5247,4.3
457,-7.0502,43.0897,21.9
458,-7.3252,42.4507,43.58
459,-7.5503,43.2508,0.3
460,-7.2503,42.9758,24.8
461,-6.9002,42.8008,29.12
462,-7.4875,42.6781,42.9
463,-7.3503,42.9258,11.07
464,-7.1363,42.8841,12.19
465,-7.303,42.6674,3.31
466,-0.7499,42.4563,20.7
467,-0.7415,42.4535,71.3
468,0.0085,42.573,71.8
469,0.1585,42.5702,43.5
470,0.1891,42.5591,33.7
471,0.1919,42.4369,44.6
472,0.9836,42.323,74.2
473,1.3419,42.3035,63.5
474,1.7503,42.0369,49.1
475,1.2641,41.9868,25.2
476,1.4641,42.023,39.5
477,1.403,42.0535,38.4
478,1.4808,42.0896,48.3
479,1.4975,42.0424,19.0
480,1.3891,42.0063,11.5
481,1.3419,41.9521,23.0
482,1.6753,41.973,24.0
483,1.6503,41.8702,6.0
484,1.6919,41.8591,41.0
485,1.8892,42.0035,2.0
486,1.7058,42.0063,12.0
487,1.581,41.9652,9.0
488,1.6753,41.9535,15.1
489,1.9808,42.0063,11.9
490,1.9753,42.0563,16.1
491,2.1336,41.8896,4.6
492,2.067,41.8063,0.4
493,0.9641,41.3702,46.5
494,0.903,41.3229,35.3
495,0.3002,40.8368,71.7
496,0.3335,40.7735,67.5
497,0.3252,40.6824,41.3
498,0.2224,40.7896,56.9
499,-0.6276,40.6396,50.4
500,-0.6499,40.6229,55.4
501,-0.5249,40.2757,50.1
502,-0.6749,40.3062,71.0
503,-0.7026,40.3229,49.6
504,-1.0193,40.4063,70.7
505,-1.3527,40.3396,60.9
506,-1.3582,40.3201,42.8
507,-0.8943,40.0229,50.8
508,-1.0138,40.0368,37.7
509,-0.986,40.0396,64.6
510,-1.1832,40.1285,61.4
511,-1.2027,40.1785,77.5
512,-1.386,40.2618,56.3
513,-1.3444,40.1896,50.0
514,2.017,41.3341,20.3
515,-1.5039,43.2488,38.23
516,-1.5394,43.156,4.07
517,-1.6667,43.1463,4.96
518,-1.6695,43.1745,71.0
519,-1.6689,43.1806,21.06
520,-1.7787,43.0082,6.78
521,-2.004,43.0623,3.95
522,-1.902,43.2031,12.69
523,-1.902,43.2053,29.08
524,-1.8578,43.167,34.49
525,-1.682,43.2442,29.01
526,-1.7208,43.262,26.32
527,-1.6833,43.2531,48.39
528,-1.6608,43.2933,36.08
529,-1.6522,43.2597,21.21
530,2.8203,42.216,18.18
531,2.742,42.1396,4.32
532,3.0003,42.1202,44.75
533,2.9962,42.0574,11.17
534,3.174,41.8827,36.94
535,2.1684,41.9174,0.09
536,2.0114,41.9118,1.56
537,1.7475,41.6841,32.73
538,2.0892,41.6257,31.79
539,2.035,41.6049,13.15
540,2.1636,41.7007,9.1
541,2.1892,41.6424,35.66
542,2.2072,41.6035,22.98
543,1.5058,41.4729,40.21
544,1.5669,41.4882,0.01
545,1.4919,41.4479,32.78
546,1.8753,41.3313,17.8
547,1.9031,41.3146,9.82
548,1.8775,41.3299,14.21
549,1.4016,41.4563,40.26
550,1.3975,41.4646,23.79
551,1.3786,41.4224,14.72
552,0.7766,41.009,47.47
553,0.7724,41.009,20.27
554,-0.861,41.9938,24.2
555,-0.8527,41.9841,27.99
556,-1.0544,41.3398,65.42
557,-0.8999,41.4604,46.36
558,-0.0665,41.3591,40.5
559,-0.0693,41.3424,29.92
560,-0.5249,41.7674,3.15
561,-0.5443,41.7757,16.91
562,-0.3776,41.7007,55.63
563,-0.3971,41.7174,32.38
564,0.853,41.4702,18.84
565,0.8502,41.4646,17.3
566,0.8808,41.4535,32.85
567,-0.4193,41.1202,49.83
568,-0.3499,41.009,64.15
569,-0.1748,40.9229,35.79
570,0.1002,40.8507,19.25
571,0.0863,40.8646,17.79
572,-0.0248,40.8007,48.02
573,-0.0526,40.7952,30.58
574,-0.0776,40.784,39.02
575,-0.911,42.1341,18.52
576,-0.9319,42.2559,12.38
577,2.1855,42.3009,57.12
578,2.0692,42.2599,9.59
579,2.1142,42.2994,2.39
580,2.1281,42.298,6.74
581,2.1281,42.2835,13.16
582,2.1781,41.9118,1.56
583,2.1809,41.9118,1.72
584,2.2114,41.9618,15.29
585,2.3289,41.8993,36.66
586,2.4198,41.951,13.62
587,2.417,41.9355,17.74
588,2.4031,41.9591,21.41
589,2.0086,42.2341,35.39
590,2.0156,42.2327,24.73
591,1.86,42.2507,34.22
592,1.7578,42.2196,32.15
593,1.7286,42.2341,26.84
594,1.678,42.2257,26.14
595,1.2614,42.3341,65.51
596,1.7483,42.3285,55.33
597,1.7905,42.3341,73.34
598,1.3378,42.428,41.53
599,1.3169,42.4299,64.05
600,1.1794,42.448,58.67
601,1.3244,42.5952,38.76
602,1.3419,42.5377,67.82
603,0.2307,42.6346,60.42
604,-0.0717,42.6481,16.5
605,0.1991,42.6327,62.7
606,-0.6561,42.7453,21.99
607,-0.7195,42.7258,15.05
608,-0.795,42.7425,13.25
609,-0.8272,42.7356,15.63
610,-0.8625,42.9217,1.03
611,-1.0728,42.8953,6.4
612,-1.1389,42.9264,5.04
613,-1.4249,42.9437,0.66
614,-1.3706,42.8453,1.99
615,-1.1272,42.7036,9.99
616,-1.1939,42.7461,6.08
617,-1.0111,42.6617,26.44
618,-0.927,42.6642,2.56
619,-0.9792,42.4353,2.57
620,-0.9914,42.3814,18.21
621,-0.5292,42.5267,27.5
622,-0.6221,42.3494,48.23
623,-1.6583,40.4618,67.76
624,-1.6633,40.4945,0.01
625,-1.6328,40.5287,3.78
626,-1.6256,40.3878,47.35
627,-1.4416,40.2785,42.05
628,1.0872,41.3591,50.0
629,1.0511,41.3368,36.07
630,0.2974,40.7118,45.03
631,0.246,40.7474,47.04
632,-0.6889,40.4003,60.01
633,-0.6972,40.4076,52.74
634,-0.8416,40.4062,55.08
635,2.1503,41.4202,46.27
636,2.4059,41.5852,24.49
637,2.3975,41.5868,22.2
638,2.4086,41.5743,36.48
639,2.3734,41.6231,29.88
640,2.3531,41.6285,32.2
641,2.3684,41.6266,12.52
642,2.7309,41.7332,33.15
643,2.7239,41.6646,36.34
644,2.3856,41.9327,34.89
645,2.3036,41.8757,40.64
646,2.4475,41.7507,41.32
647,2.3836,41.7549,51.73
648,2.7225,41.8507,10.83
649,2.7003,41.871,23.96
650,2.6239,41.7924,18.72
651,2.8328,41.8446,26.61
652,2.6975,41.7466,29.34
653,3.1017,41.9652,10.74
654,3.192,41.9907,0.01
655,2.5525,41.8152,47.5
656,2.6753,42.1424,2.28
657,2.8339,42.2096,31.33
658,3.0651,41.8091,0.48
659,3.0434,41.7932,55.27
660,-1.4464,41.2995,56.37
661,-1.4369,41.2809,41.26
662,-1.4172,41.2964,52.56
663,-1.1014,41.1773,33.27
664,-1.0903,41.1953,77.82
665,-0.6911,40.2413,75.82
666,-0.7695,40.2699,59.01
667,-0.8125,40.3523,51.21
668,-1.2589,40.3517,75.41
669,-1.3883,40.5023,54.15
670,-1.3742,40.3931,60.88
671,2.9337,41.9507,76.98
672,2.8837,42.0007,61.39
673,1.8308,42.3507,35.5
674,2.5725,41.8604,33.24
675,3.1837,42.0841,12.5
676,-0.4526,42.3341,0.01
677,0.353,42.6674,34.25
678,-0.5332,42.4508,2.93
679,-0.286,42.6841,12.29
680,0.0335,42.6008,47.04
681,-0.5832,42.6841,20.55
682,-0.2526,42.6341,7.13
683,-0.2998,42.2341,42.2
684,0.6697,42.7841,52.21
685,0.8502,42.5174,40.82
686,-1.4249,40.0229,3.8
687,-1.511,39.9729,63.6
688,-1.6027,40.0896,3.1
689,-1.6305,40.0285,29.1
690,-1.8083,39.7896,30.4
691,-1.8333,39.7868,56.1
692,-1.9249,39.8757,62.9
693,-2.1,39.8562,42.0
694,-2.2472,39.9731,1.0
695,-2.0416,40.0229,10.8
696,-2.0416,40.0285,5.4
697,-2.3944,40.0729,5.1
698,-2.0444,40.1229,1.1
699,-2.0456,40.0495,72.7
700,-2.1861,40.1868,16.4
701,-1.9249,40.2257,33.6
702,-2.0138,40.259,14.8
703,-1.8333,40.3701,51.9
704,-1.8833,40.3896,76.0
705,-2.1583,40.3868,64.2
706,-2.2611,40.4451,14.4
707,-2.1583,40.459,3.2
708,-2.0916,40.4951,49.4
709,-2.0111,40.5896,54.7
710,-2.1027,40.5896,25.1
711,-2.0805,40.5868,49.6
712,-2.2777,40.5729,3.4
713,-2.1861,40.609,31.5
714,-2.25,40.7257,49.4
715,-2.3639,40.6424,71.6
716,-2.2138,40.6924,45.8
717,-2.1861,40.7229,0.01
718,-2.1527,40.7979,66.1
719,-2.1277,40.659,24.7
720,-2.1166,40.6563,58.9
721,-3.325,41.6452,71.8
722,-3.3139,41.6396,10.9
723,-4.8695,40.4563,39.3
724,-2.3639,38.6562,61.3
725,-2.35,38.6423,57.1
726,-2.3666,38.6118,33.3
727,-2.38,38.5562,66.8
728,-2.4027,38.5395,58.5
729,-2.2889,38.4729,5.4
730,-2.6805,38.4201,10.8
731,-2.2666,38.134,61.4
732,-2.3,38.0951,66.6
733,-1.2999,39.034,56.98
734,-2.7667,39.0007,38.68
735,-2.05,38.3315,15.4
736,-4.6474,40.3297,12.13
737,-4.4445,40.7424,6.74
738,-4.9787,40.391,38.71
739,-5.1923,40.1812,43.48
740,-5.0196,41.0007,57.0
741,-4.5951,40.384,34.79
742,-4.8696,40.284,22.3
743,-4.4931,40.6001,65.0
744,-4.3844,40.5259,34.0
745,-4.9862,40.1673,39.5
746,-5.0362,40.234,26.56
747,-5.1779,40.2174,18.0
748,-4.7362,41.0174,5.14
749,-4.9362,40.2007,24.03
750,-5.2501,40.4507,15.28
751,-4.4612,40.5965,24.14
752,-4.3945,40.6257,13.6
753,-4.3444,40.5814,35.31
754,-4.3489,40.5759,26.1
755,-4.5001,40.7174,22.42
756,-4.1832,40.6738,42.74
757,-4.2014,40.6148,17.86
758,-4.4195,40.5479,37.59
759,-4.5529,40.3174,28.94
760,-4.8998,40.2499,44.78
761,-4.6836,40.3184,22.31
762,-4.9001,40.259,29.5
763,-4.9696,40.2507,43.0
764,-4.6146,40.194,30.62
765,-4.719,40.9757,5.62
766,-4.6861,40.9648,10.0
767,-5.5863,40.334,45.47
768,-4.3529,40.5707,20.6
769,-4.5001,40.5007,65.0
770,-4.6737,40.8257,12.96
771,-4.5668,40.3507,35.7
772,-5.0362,40.234,38.21
773,-5.2668,40.684,28.54
774,-4.9834,40.4007,22.86
775,-4.9862,40.3174,46.0
776,-4.6195,40.2049,21.04
777,-4.5001,40.384,19.57
778,-4.5001,40.334,25.05
779,-3.175,42.8341,3.17
780,-3.9028,41.6507,65.36
781,-3.3334,42.3674,27.32
782,-3.5417,42.0674,50.28
783,-3.3167,42.0174,6.64
784,-3.125,41.9341,54.48
785,-3.1333,42.3091,17.81
786,-3.1611,42.2881,74.76
787,-3.2195,42.3007,64.53
788,-3.4393,42.0626,62.28
789,-3.3806,41.8923,3.96
790,-2.9667,41.9674,15.49
791,-3.6583,41.9481,27.79
792,-3.1861,42.3341,10.0
793,-3.7336,42.6247,2.18
794,-3.1153,42.6675,24.41
795,-3.7483,42.6267,10.0
796,-4.7445,40.4618,22.55
797,-4.5325,40.3259,33.4
798,-4.5319,40.3148,26.1
799,-4.5258,40.3245,7.9
800,-5.0086,40.2759,12.6
801,-5.0097,40.3031,56.4
802,-4.5533,42.4822,59.61
803,-4.5889,42.4981,68.66
804,-4.7444,42.5314,26.14
805,-4.4755,42.5437,32.34
806,-4.5208,42.5336,47.62
807,-4.5472,42.5934,62.38
808,-4.5417,42.5892,66.33
809,-4.5361,42.5831,15.29
810,-4.8111,42.4675,46.11
811,-4.9181,42.687,35.09
812,-4.9078,42.6939,32.52
813,-5.2339,42.7818,45.7
814,-4.95,42.6481,38.25
815,-4.9167,42.6989,62.27
816,-4.8361,42.655,34.93
817,-5.2551,42.7363,25.34
818,-5.2584,42.7061,19.1
819,-5.7342,42.6856,28.46
820,-5.6922,42.7875,59.74
821,-5.6778,42.7858,52.42
822,-5.6931,42.7772,10.37
823,-5.6806,42.7884,44.6
824,-5.6805,42.7842,59.03
825,-4.0042,40.7877,55.64
826,-4.0112,40.7707,22.81
827,-4.049,40.7596,74.96
828,-4.0684,40.7735,13.73
829,-4.1421,40.6231,45.22
830,-4.1672,40.6008,36.86
831,-4.1357,40.63,17.98
832,-4.1538,40.65,40.65
833,-4.0276,40.7338,36.92
834,-4.0812,40.7315,39.38
